REIGATE-CLIFTONS-LANE,,,,,,,,,,
Grid ref,TQ239512,Long,-0.22622,Lat,51.24654,Elevation,278,ft,,
Station no,121/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.6,3.1,4.8,2.35,3,3.5,3.15
February,,,,2.25,1.65,0.35,4.2,2.4,0.15,2.4
March,,,,2.55,1.4,0.9,1.4,1.85,2.55,2
April,,,,0.4,0.4,2,0.25,1.05,2.55,0.9
May,,,,2.15,4.3,0.35,1.4,2.6,0.9,1.45
June,,,,4.3,2.2,3.15,1.05,3.95,1.35,1.5
July,,,,3.4,1,4,3.5,1.9,0.85,3.1
August,,,,3.15,1.15,3,3.1,3.1,1.2,3.2
September,,,,2.3,2,3.05,2.75,6.8,0.15,2.95
October,,,,2.5,4.5,1.2,1.85,3.65,2.9,6.55
November,,,,5.55,1.3,0.95,3.05,2.25,3.4,5.3
December,,,,2.1,2.8,4.5,2.35,3.8,5.35,3.45
Total,,,,32.25,25.8,28.25,27.25,36.35,24.85,35.95
,,,,,,,,,,
1955 Jan Inspection Lopping of tree to N recommended,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Reigate Cliftons Lane P Sta SRC_ID 6517,,,,,,,,,,
1954-1988,,,,,,,,,,
