CHIPPENHAM-SEAGRY-MILL,,,,,,,,,,
Grid ref,ST956804,Long,-2.064811,Lat,51.522498,Elevation,178,ft,,
Station no,1494/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.75,4.37,3.11
February,,,,,,,,3.12,0.23,2.05
March,,,,,,,,1.35,3.22,1.42
April,,,,,,,,1.35,2.81,1.1
May,,,,,,,,2.48,0.53,1.48
June,,,,,,,,3.99,2.27,2.78
July,,,,,,,,1.87,2.35,3.86
August,,,,,,,,1.96,1.05,3.51
September,,,,,,,,3.94,0.14,3.51
October,,,,,,,,2.23,1.92,5.41
November,,,,,,,,2.32,2.55,4.07
December,,,,,,,,3.1,5.76,4.13
Total,,,,,,,,30.46,27.2,36.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1954-1957 All values removed as marked as 'do not punch' and 'unreliable' on TYR ,,,,,,,,,,
