"WANSTEAD (RED BRIDGE)",,,,,,,,,,,,
Grid ref,TQ415882,Long,0.040523,Lat,51.574914,,,,,,,
Station no,1261,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.03,1.40,0.74,0.95,2.30,3.19,1.30,1.97,1.78,1.48,,
February,5.22,0.75,1.77,2.14,1.49,0.32,2.94,2.19,0.08,1.72,,
March,2.95,2.64,0.37,2.12,0.93,0.84,0.96,0.87,1.16,1.07,,
April,2.60,0.98,2.27,0.23,0.28,1.01,0.14,1.55,1.86,0.42,,
May,1.90,1.28,1.03,1.67,3.97,0.60,1.10,2.24,1.27,1.77,,
June,0.80,2.09,1.50,2.63,2.07,3.05,0.85,5.42,0.63,1.56,,
July,1.02,0.66,3.96,2.46,0.30,3.59,4.58,2.28,1.44,2.77,,
August,3.58,2.91,1.76,3.22,1.00,4.86,1.59,3.23,1.04,5.10,,
September,3.56,2.97,1.90,1.67,1.95,1.98,2.23,3.91,0.04,4.22,,
October,0.84,2.12,3.18,2.02,3.06,1.72,1.81,2.06,1.80,5.32,,
November,4.13,3.63,0.78,3.32,0.47,0.46,2.00,1.85,2.78,2.83,,
December,1.53,2.01,0.57,1.31,1.41,2.33,1.33,2.83,2.97,2.29,,
Total,30.16,23.44,19.83,23.74,19.23,23.95,20.83,30.40,16.85,30.55,,
Calc annual,30.16,23.44,19.83,23.74,19.23,23.95,20.83,30.40,16.85,30.55,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
