"CAMBRIDGE (CORPORATION STORE YARD)",,,,,,,,,,,,
Grid ref,TL464579,Long,0.140736,Lat,52.199896,,,,,,,
Station no,1202,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.06,1.52,1.02,0.97,1.85,2.92,1.22,2.11,2.75,1.92,,
February,2.35,0.66,1.47,1.64,1.71,0.60,2.03,2.69,0.13,1.13,,
March,2.79,2.83,0.40,1.82,1.37,0.55,1.43,0.67,2.36,1.53,,
April,2.97,1.79,1.95,0.31,0.54,1.22,0.12,1.16,1.83,0.32,,
May,2.31,1.42,1.64,3.44,2.44,0.68,0.63,2.60,0.46,0.80,,
June,1.17,1.84,2.30,1.28,2.26,1.98,1.79,4.62,2.00,2.02,,
July,0.87,0.55,2.22,2.88,0.83,3.84,2.20,3.47,3.44,3.15,,
August,3.26,2.81,2.55,3.12,1.37,4.59,1.93,2.44,0.85,3.00,,
September,2.22,2.38,1.26,1.67,2.71,1.60,3.30,2.41,0.04,3.91,,
October,1.14,2.21,2.91,1.76,2.78,1.04,1.20,1.91,1.33,4.16,,
November,2.83,2.86,0.89,3.11,1.28,0.86,1.77,1.37,1.32,3.43,,
December,1.42,1.97,0.73,1.86,1.40,2.24,1.55,2.49,2.93,2.95,,
Total,25.39,22.84,19.34,23.86,20.54,22.12,19.17,27.94,19.44,28.32,,
Calc annual,25.39,22.84,19.34,23.86,20.54,22.12,19.17,27.94,19.44,28.32,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
