BERWICK PAXTON HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NT931519,Long,-2.1109,Lat,55.7612,Elevation,90,ft,,,,,,,,,,,,
Station no,RR2388,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,1.04,0.71,,,2.23,3.65,1.58,2.45,1.81,0.82,
February,,,,,,,,,,3.6,1.87,3.21,,1.66,0.95,1.34,0.94,0.42,1.24,
March,,,,,,,,,,1.58,1.33,2.34,,2.18,1.78,1.78,2.84,1.43,2.84,
April,,,,,,,,,,2.33,1.61,0.75,,1.51,1.77,2.83,1.37,1.23,1.1,
May,,,,,,,,,,2.08,1.31,2.87,,1.68,1.39,3.83,3.87,2.06,0.63,
June,,,,,,,,,,2.88,1.19,1.35,,3.19,1.13,1,1.62,0.48,3.04,
July,,,,,,,,,,6.74,2.84,3.06,,4.13,4.07,1.13,3.53,1.92,6.34,
August,,,,,,,,,,3.7,0.45,5.15,,2.18,3.1,1.78,1.06,1.44,1.54,
September,,,,,,,,,,0.76,4.4,,,3.04,3.59,2.47,1.94,4.96,0.99,
October,,,,,,,,,,0.42,3.88,2.06,,2.42,2.19,3.56,3.49,1.43,0.89,
November,,,,,,,,,,1.97,3.77,2.26,,1.07,1.99,1.75,2.92,2.9,5.35,
December,,,,,,,,,,1.18,3.68,1.5,,0.97,1.9,0.8,2.29,2.31,0.91,
Total,,,,,,,,,,28.28,27.04,,,26.26,27.51,23.85,28.32,22.39,25.69,
