HINDON (LOWER PERTWOOD),,,,,,,,,,,,
Grid ref,ST883366,Long,-2.168575,Lat,51.128557,,,,,,,
Station no,1515/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.81,5.17,4.03,4.17,6.64,3.19,,
February,,,,,2.57,0.14,3.95,3.17,0.41,2.76,,
March,,,,,1.70,1.31,2.33,1.78,4.20,2.39,,
April,,,,,1.03,1.43,0.01,1.08,2.81,1.33,,
May,,,,,4.08,0.71,2.18,3.33,1.37,1.38,,
June,,,,,3.23,2.68,2.11,4.32,1.87,2.28,,
July,,,,,1.01,3.47,4.83,2.42,2.04,4.00,,
August,,,,,0.93,-999.00,2.88,4.08,1.44,5.29,,
September,,,,,1.40,4.35,4.27,6.89,0.35,5.02,,
October,,,,,2.93,2.77,2.99,2.91,1.17,8.82,,
November,,,,,3.28,0.79,2.45,2.79,7.00,5.63,,
December,,,,,5.44,5.15,3.77,4.44,9.04,5.67,,
Total,,,,,31.41,33.85,35.80,41.38,38.34,47.76,,
Calc annual,0.00,0.00,0.00,0.00,31.41,27.97,35.80,41.38,38.34,47.76,,
Difference,NaN,NaN,NaN,NaN,0.00,5.88,-0.00,0.00,0.00,0.00,,
