EXMINSTER-TROOD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX926886,Long,-3.521729,Lat,50.687108,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.9,4.77,4.52,2.03,6.58,2.89,4.21,2.24,2.99,0.55,5.4,6.82,4.01,6.21,2.16,5.59,4.33,8.78,2.18,3.48,4.28,4.44,6.59,0.65,1.03,3.52,2.92,0.41,1.99,4.85,4.31,3.44,4.25,5.13,5.15
February,,,,,,,2.93,3.94,3.23,2.39,1.64,2.29,0.04,3.82,0.17,3.76,4.03,6.04,0.93,1.36,4.83,3.67,0.21,1.95,0.42,2.11,2.92,2.03,1.4,1.72,6.58,5.41,0.6,1.5,3.17,2.32,0.16,6.13,4.21,0.33,5.33
March,,,,,,,0.54,3.43,3.87,0.13,2.71,2.12,2.27,3.54,3.15,1.39,3.82,4.93,0.18,1.81,2.88,2.71,2.99,1.4,0.17,0.63,1.55,9.06,1.4,1.88,1.91,3.44,2.54,0.61,3.32,1.73,1.43,3.7,2.25,5.53,3.06
April,,,,,,,2,2.59,1.35,0.93,3.18,3.48,2.18,2.35,2.91,4.27,2.38,3.47,0.09,2.44,3.04,1.28,1.58,1,1.87,0.68,3.14,1.98,2.53,1.95,2.23,1.91,2.85,2.94,0.03,0.75,1.06,0.11,0.34,4.17,3.09
May,,,,,,,0.81,0.41,1.47,2.22,1.62,3.27,3.24,2.58,1.17,2.75,0.67,3.21,2.71,0.34,1.68,2.57,6.18,3.65,0.41,3.44,6.52,3.6,2.38,1.97,2.79,2.96,2.89,2.65,2.6,3.91,2.02,2.39,3.46,1.23,2.09
June,,,,,,,3.5,1.78,1.71,2.52,0.34,3.03,2.92,2.3,1.89,3.64,3.43,1.03,1.67,2.69,1.13,1.63,0.78,1.63,1.98,2.43,2.06,2.62,1.72,0.7,0.67,0.73,1.26,2,4.33,3.24,1.53,1.48,4.31,1.5,0.73
July,,,,,,,0.81,3.05,1.22,1.49,1.37,3.94,2.46,1.86,0.8,0.61,5.39,1.18,3.47,5.25,2.62,0.68,1.87,2.35,2.29,2.54,1.32,1.56,1.17,2.35,4.35,2.26,0.96,2.12,2.29,4.56,3.21,2.78,3.07,2.27,3.4
August,,,,,,,0.96,3.49,2.09,1.62,3.2,3.35,1.83,1.3,3.14,2.77,0.07,1.33,4.21,2.28,0.04,3.61,4.25,2.31,4.05,1.73,4.42,1.14,2.94,0.97,3.71,3.49,5.09,1.73,2.21,0.68,3.29,2.17,3.23,2.41,3.66
September,,,,,,,1.54,4.85,1.29,0.33,4.42,1.17,4.15,2.15,2.29,2.45,2.75,2.53,1.01,0.78,1.43,1.14,2.59,2.73,2.26,2.62,6.8,2.38,1.01,4.06,3.53,4.07,2.87,2.59,2.58,1.43,5.21,1.98,3.78,0.42,8.16
October,,,,,,,2.74,2,4.9,5.74,3.62,0.46,6.48,3.14,2.12,3.68,1.05,4.27,2.95,4.69,4.82,1.38,2.7,3.85,4.28,4.61,2.33,0.92,3.34,6.25,1.29,1.43,5.49,3.69,2.37,1.76,2.38,1.74,3.49,3.65,11.86
November,,,,,,,8.81,2.96,3.34,11.19,5.87,8.04,2.88,1.13,1.58,6.22,2.91,2.23,4.85,5.84,7.19,3.1,1.06,2.65,6.2,1.02,7.31,2.12,1.93,5.23,6.64,6.17,3.57,2.19,7.3,4.18,1.87,2.88,3.3,9.3,4.3
December,,,,,,,0.66,3.31,3.09,9.87,4.07,1.6,2.53,2.26,11.25,5.14,4.14,3.96,4.08,1.62,3.37,2.93,5.05,3.09,3.31,6.7,4.19,2.77,7,1.12,4,3.17,3.03,0.75,3.62,4.33,6.37,3.19,4.93,8.59,3.49
Total,,,,,,,29.2,36.58,32.08,40.46,38.62,35.64,35.19,28.67,33.46,37.23,36.04,41,30.16,35.31,35.19,30.29,33.59,35.39,29.42,31.99,46.84,34.62,33.41,28.85,38.73,38.56,34.07,23.18,35.81,33.74,32.84,31.99,40.62,44.53,54.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 New gauge sometime in year- same size ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge lowered 10 ins sometime around 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
