BEDWORTH CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP359868,Long,-1.472856,Lat,52.477953,Elevation,385,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,2.74,2.22,1.52,1.88,1.66,3.65,1.25,1.93,0.91,3.19,4.17,1.44,1.79,1.64,2.87,0.71,3.79,0.81,0.79,1.07,2.02,0.67,4.08,4.12,1.01,2.73,1.33,1.88,,3.94
February,,,,,,,,,,,0.62,0.11,1.19,2.84,2.14,0.21,0.5,3.79,1.25,2.32,4.5,1.74,1.62,1.06,3.04,0.75,2.64,1.06,1.18,0.76,2.3,1.64,1.26,0.82,1.5,3.38,3.55,,1.15,2.9
March,,,,,,,,,,3.74,1.57,1.27,0.92,0.36,1.03,2.22,2.46,2.56,0.78,1.44,0.71,2.02,2,4.31,1.68,2.77,1.41,1.1,2.76,3.05,0.6,1.6,3.14,3.7,2.4,0.75,3.99,,,3.44
April,,,,,,,,,,3.63,1.04,2.19,1.07,0.32,1.54,1.8,1.18,1.78,1.99,2.12,0.99,2.11,2.56,1.84,0.94,1.71,0.44,1.7,3.36,1.34,1.71,0.74,0.37,3.68,1.59,1.03,0.94,,,
May,,,,,,,,,,3.84,2.29,2.87,1.79,2.38,1.8,0.89,0.33,1.78,2.96,2.06,1.81,0.88,2.25,3,1.74,0.24,2.22,4.04,2.47,1.71,2.01,0.9,3.68,2.81,1.23,2.02,2.45,,,
June,,,,,,,,,,1.24,1.49,2.37,3.4,0.86,1.87,0.59,3.71,3.25,0.88,1.53,2.96,2.46,2.39,1.63,0.47,3.53,3.72,2.84,1.38,3.42,1.11,1.98,4.73,0.93,2.3,0.65,1.58,,,
July,,,,,,,,,,1.44,2.15,2.67,2.13,1.84,2.72,2.82,2.23,0.23,1.17,1.1,1.42,4.12,1.67,1.98,2.13,1.05,0.76,3.45,2.98,3.38,2.94,0.13,3.55,0.95,4.86,6.44,1.5,,,
August,,,,,,,,,,2.54,3.08,3.54,2.33,2.52,2.64,2.63,2.17,3.5,3.31,1.19,2.9,1.65,4.02,4.19,2.65,4.24,1.05,2.75,3.13,2.1,3.92,1.65,6,0.67,1.71,1.81,2.99,,,
September,,,,,,,,,,2.75,1.38,1.3,2.27,1.56,2.03,0.61,4.05,2.57,0.66,5.66,0.51,1.07,1.69,2.13,1.96,1.55,1.61,0.8,1.55,2.42,0.87,1.67,0.95,1.88,0.75,0.85,0.98,,,
October,,,,,,,,,,2.44,1.53,6.11,2.88,2.98,2.79,3.03,2.91,1.72,2.52,2.25,2.45,1.52,2.39,6.03,0.71,0.97,5.18,4.91,1.03,3.65,2.28,2.29,2.5,2.96,2.13,1.69,2.76,,,
November,,,,,,,,,,1.16,3.14,2.16,1.92,1.74,2.42,4.09,1.3,1.46,2.93,2.03,2.22,0.89,1.73,1.89,1.32,2.57,2.71,2.19,1.16,0.48,4.38,2.5,1.8,2.76,2.86,2.34,2.79,,,
December,,,,,,,,,,1.93,0.66,2.98,1.35,2.47,2.56,2.29,2.68,3.06,2.16,1.66,5.44,3.63,1.24,1.24,1.98,0.84,2.26,3.28,1.88,3.66,4.56,4.38,3.94,0.91,5.47,4.89,2.68,,,
Total,,,,,,,,,,,21.69,29.79,22.77,21.75,25.2,24.83,24.77,27.63,21.52,26.55,30.08,23.53,25.35,30.94,21.49,20.93,27.79,28.93,23.67,27.04,28.7,20.15,36,26.19,27.81,28.58,27.54,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_07_pt4-page-028.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1-page-031.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_16_pt1-page-179.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_15_pt1-page-210.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
