"GREAT HASELEY, MANOR HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4141,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,,0.65,1.77,0.58,2.13,,
February,,,,,,,0.42,2.74,1.21,2.13,,
March,,,,,,,2.22,2.51,1.06,0.50,,
April,,,,,,,0.48,1.51,1.16,2.05,,
May,,,,,,,0.35,1.00,2.04,1.73,,
June,,,,,,,3.11,2.54,2.16,1.27,,
July,,,,,,,0.75,0.37,0.46,0.85,,
August,,,,,,,0.25,3.25,0.25,1.93,,
September,,,,,,,2.70,2.91,0.31,1.95,,
October,,,,,,,2.70,0.98,3.63,1.95,,
November,,,,,,,0.68,0.74,2.38,2.62,,
December,,,,,,,3.40,2.78,2.59,1.40,,
Total,,,,,,,17.71,23.10,17.83,20.51,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,17.71,23.10,17.83,20.51,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
