"MUIRKIRK (KAIMESHILL)",,,,,,,,,,,,
Grid ref,NS696266,Long,-4.066728,Lat,55.515690,,,,,,,
Station no,5256,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.09,5.14,3.41,4.75,2.71,3.18,4.76,4.24,1.74,3.76,,
February,3.14,2.57,1.93,2.98,1.35,1.88,2.92,4.51,1.96,3.24,,
March,4.43,1.72,0.89,3.11,1.42,3.76,4.37,1.64,2.28,2.12,,
April,2.95,3.00,2.50,1.86,2.17,1.27,1.91,2.14,3.21,3.37,,
May,2.35,3.38,3.25,4.18,3.42,2.01,2.49,2.72,2.06,1.69,,
June,1.89,3.23,0.96,4.35,2.05,3.50,1.78,2.86,3.34,1.91,,
July,3.86,4.54,5.80,5.12,1.49,6.24,3.67,5.11,5.53,2.80,,
August,5.94,4.49,3.70,5.50,2.19,6.98,6.26,4.61,1.33,4.25,,
September,4.23,3.05,4.53,7.16,4.58,4.69,3.40,4.30,1.41,2.65,,
October,1.26,3.29,3.57,9.55,3.55,3.97,5.23,3.61,8.23,3.06,,
November,7.47,3.48,7.31,8.35,2.19,2.52,2.75,1.99,6.19,8.97,,
December,8.21,4.46,4.76,7.70,8.39,7.27,5.34,6.14,5.63,6.34,,
Total,50.82,42.35,42.61,64.61,35.51,47.27,44.88,43.87,42.91,44.16,,
Calc annual,50.82,42.35,42.61,64.61,35.51,47.27,44.88,43.87,42.91,44.16,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,,
