EAGLESHAM ( DUNWAN RES. ) NO 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS542492,Long,-4.322379,Lat,55.714234,Elevation ,841,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5276/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.3,5.1,,2.1,7.5,6.1,8.2,3.55,6.4,3.7,8.6,8,3.9,4.75,5.8,3.72,4.93,3.35,2.94,7.21,6.49,2,5.85
February,,,,,,,,2.95,8,,3.8,1.45,7,2.9,10.6,4.2,0.65,6.05,7.54,6.1,4.54,2.65,2.64,4.5,3.2,1.71,3.45,4.8,3.4,6.5
March,,,,,,,,5.95,4.2,6.5,4.1,2.6,3.45,0.58,4.72,3.9,3.3,5.65,3.25,4.5,4.25,4,1.48,4.25,2.7,3.27,5.76,2,3.4,2
April,,,,,,,,1.15,3,3.2,2.5,2.5,4.13,4,2.3,2.7,8.2,4.7,6.6,4.85,4.15,3.1,2.4,2.17,3.15,1.44,3.4,2.36,4.1,4.9
May,,,,,,,,5.85,1,1.5,4.1,3.2,4.9,4.6,5.5,0.9,3.8,1.2,3.05,1.8,1.85,1.98,2.8,3.8,4.65,3.78,2.54,4.3,1.92,2.4
June,,,,,,,,7.3,2.7,2.3,1.3,2.25,5,5,5,4.32,3.15,7.05,0.95,2.76,2.5,4.1,1.6,5,2.4,4.36,3.6,3.65,4.65,3.08
July,,,,,,,,7.6,6.4,5.1,4.65,4.3,2.82,3.85,3.31,5.2,3.8,5.1,2.51,5.9,4.75,2.9,6.3,5.45,2.1,5.35,4.74,5.32,6.7,4.74
August,,,,,,,,4.85,2.1,4.1,7,6.3,7.3,5.5,2.05,3.45,0.03,7.75,5.1,6.95,6.3,5.6,3.92,5.74,1.85,5.32,6.07,4.7,1.6,3.8
September,,,,,,,,5.98,2.6,6,1.9,7.5,4.1,8,6.5,10.1,7,9.6,1.94,12.6,4.15,3.5,6.18,6.77,5.6,5.75,4,4.95,1.35,3.95
October,,,,,,,,13.82,3.2,5.2,4.5,8.8,10.4,7.2,8.7,0.61,2.9,7.9,6.5,4.4,1.36,4.9,3.6,11.9,4,5.4,7.14,4.5,8.1,3.5
November,,,,,,,,9.25,11.3,7.7,3.2,1.05,3.62,9.2,1.1,6.75,9,5.1,6.3,4.8,7.7,2.7,11.2,8.3,2,2.1,2.65,2.2,6.9,7.1
December,,,,,,,,3.4,3.5,7.2,3.75,7.4,3.67,6.3,3.5,5.75,4.1,6.9,12.35,2.1,8.3,5.15,6.35,9.3,9.24,8.1,6.75,7.3,9.08,8.95
Total,,,,,,,,76.4,53.1,,42.9,54.85,62.49,65.33,56.83,54.28,49.63,75.6,64.09,60.66,54.6,46.38,52.19,72.11,44.24,49.52,57.31,52.57,53.2,56.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 J F +T est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
