BRIDGWATER-OVER-STOWEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST178383,Long,-3.1763,Lat,51.138047,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2085/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,4.63,4.04,6.8,2.35,3.61,3.21,3.85,7.04,1.36,0.94,4.28,3.85,0.92,2.12,4.27,3.98,4.43,3.24,4.82,4.28
February,,,,,,,,,,,3.92,0.57,1.85,0.95,2.8,2.49,2.09,1.45,1.93,6.37,4.62,1.19,1.67,3.64,3.21,0.23,5.46,4.29,0.32,4.1
March,,,,,,,,,,,3.69,2.34,1.39,0.46,1.06,1.03,6.33,1.57,1.98,1.19,4.22,2.51,0.87,4.87,1.52,1.23,2.97,1.38,3.79,2.4
April,,,,,,,,,,,2.5,1.72,0.93,2.09,0.91,4.28,3.18,2.76,2.22,2.62,4.19,2.86,3.81,0.31,1.15,1.71,0.12,0.89,3.59,3.28
May,,,,,,,,,,,2.14,6.45,3.11,4.29,4.67,5.25,2.87,4.02,3.24,2.92,3.53,4.42,2.23,2.39,4.85,0.69,1.69,2.76,0.92,1.43
June,,,,,,,,,,,2.05,0.63,1.43,2.65,2.88,2.58,1.81,2.71,0.38,2.03,1.18,2.03,2.94,4.15,3.49,1.91,2.71,4.13,1.15,1.36
July,,,,,,,,,,,2.37,1.87,2.23,2.35,3.13,2.54,1.63,3.62,2.66,4.84,1.98,1.19,3.6,3.03,2.09,3.84,3.35,1.91,2.04,5.23
August,,,,,,,,,,,4.23,5.44,3.72,2.72,1.99,5.37,1.1,3.89,2.45,4.96,4.7,5.69,3.12,2.09,0.96,3.8,3.96,3.99,1.92,4.1
September,,,,,,,,,,,1.11,2.34,4.32,3.4,3.05,5.07,1.46,2.13,3.66,5.54,3.79,4.36,4.81,4.45,1.59,5.85,5.18,4.18,0.14,4.85
October,,,,,,,,,,,3.47,2.88,3.21,4.22,3.65,1.45,1.19,4.16,6.84,2,1.43,5.1,3.02,3.4,1.9,2.49,2.51,2.28,4.18,12.08
November,,,,,,,,,,8.17,3.27,1.52,3.6,7.08,1.37,6.28,2.82,1.94,5.89,7.51,8.56,5.5,2.71,7.71,4,0.87,2.69,3.84,6.36,4.6
December,,,,,,,,,,3.7,2.81,3.8,3.12,4.65,5.72,4.77,2.36,5.88,2.35,3.39,3.06,3.24,1.46,3.77,5.78,4.77,2.57,5.22,7.74,4.75
Total,,,,,,,,,,,36.19,33.6,35.71,37.21,34.84,44.32,30.69,41.17,34.96,44.31,45.54,41.94,31.16,41.93,34.81,31.37,37.64,38.11,36.97,52.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadowside Friarn Lane Over Stowey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 High but accept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Over Stowey SRC_ID 9284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
