GLENQUOICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH028030,Long,-5.255059,Lat,57.075659,Elevation,569,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,16.56,6.72,2.4,8.28,14.6,13.36,4.7,5.7,10.25,16.24,7.48,,,,11,9.94,8.05,3.2,15.9,19.5,-999,15.21,13.25,12.84,13.49,4.52,13.59,2.94,15.64,11.52,20.97,6.74,15.82,14.58,10.67,12.8,22.36,10.66,18.73,14.34,17.92,4.96,12.76,2.62,18.69,10.29,17.44,10.26,15.26,21.2,14.57,15.38,21.71,14.4,14.53,13.97,17.9,13.23,8.33,9,15.49,13.52,29.27,8.73,7.63,6.87,21.04,26.32,11.85,24.21,10.47,16.26,15.49,18.04,21.11,3.68,19.92,13.23,21.63,15.48,21.27,13.86,5.32,15.52,20.79,6.55,0.62,0.84,10.93,10.74,20.9,9.38,15.4,9.25,13.28,22.29,10.71,12.46,11.54,14.18,11.87,5.59,,,,,,,
February,,,,,16.08,0.24,7.86,,3.73,23.96,6.27,13.55,4.38,14.12,9.02,,,,14,13.37,8.57,6.9,8.2,2.45,-999,4.62,8.54,18.52,6.81,4.57,13.87,4.59,13.21,13.14,12.35,15.11,5.03,10.93,6.22,12.02,2.53,11.58,6.2,11.46,19.43,0.91,10.75,9.3,15.22,4.79,5.04,4.12,2.14,21.35,7.26,13.78,10.82,13.43,14.7,8.42,11.87,18.74,7.26,11.52,15.37,11.23,13.08,3,19.92,0.95,21.43,7.89,10.78,7.44,8.35,9.84,10.19,5.51,17.46,2.94,0.96,10.96,0.54,9,6.6,18.06,4.35,9.49,14.24,19.11,3.9,6.73,5.25,21.11,7.85,20.22,11.13,0,9.18,17.35,12.13,6.59,7.32,10.8,5.79,5.49,,,,,,,
March,,,,,19.87,6.57,0.39,,9.27,20.93,10.2,21.04,3.65,10.83,5.68,,,,12.64,1.63,4.3,5.5,6.6,2.5,-999,6.12,16.38,7.61,11.14,9.48,7.69,11.37,18.23,5.21,7.19,7.34,4.76,5.07,6.72,9.19,14.08,9.82,3,9.62,12.24,9.19,17.01,13.25,10.09,11.66,1.79,6.99,12.79,20.99,5.76,10.35,13,14.48,11.65,1.52,9.1,5.56,10.62,14.43,8.26,8.01,4.71,4.88,2.93,5.76,15.76,18.25,4.75,3.55,1,7.47,16.79,7.95,8.83,3.96,7.02,1.14,5,4.73,4.99,5.74,5.18,2.8,32.02,11.19,8.39,3.57,2.97,10.13,7.68,13.3,5.25,2.4,12.26,5.54,7.98,5.94,9,5.01,6.34,2.21,,,,,,,
April,,,,6.26,5.19,9.41,1.37,,2.9,5.52,5.7,1.66,8.32,10.55,3.91,,,,5.26,4.31,9.53,3.8,8,2.92,-999,6.57,6.29,3.57,2.8,2.22,9.12,2.12,5.82,4.01,1.61,5.46,6.41,5.18,5.92,4,5.19,1.28,3.67,3.2,2.14,6.34,8.15,5.95,8.02,8.29,7.73,6.14,5.17,6.31,17.86,4.14,7,5.09,3.32,4.93,10.85,11.56,13.11,7.52,11.68,12.09,8.09,5.68,1.97,11.93,4.45,3.6,4.87,3.72,4.54,10.27,4.57,13.68,5.35,6.08,4.48,4.75,9.72,9.69,6.78,4.26,2.8,2.94,5.52,6.52,6.1,5.55,3.64,15.03,6.95,4.03,6.64,21.08,8.06,15.4,11.05,8.06,5.34,7.9,4.42,6.28,,,,,,,
May,,,,0.39,6.92,2.45,2.14,,6.54,0.46,6.91,5.19,4.41,4.57,3.39,,,,7.79,1.19,8.11,7.8,10.6,5.93,4.05,13.12,3.63,5.51,7.46,5.26,5.44,5.37,5.23,6.24,9.16,7.44,4.36,3.91,8.09,2.98,2.79,3.73,8.09,4.13,5.98,2.57,1.94,7.03,5.07,4.82,6.68,1.64,8.18,5.32,8.77,6.03,6.1,7.2,5.61,5.8,8.24,5.71,4.49,7.08,3.78,1.77,5.94,2.97,2.46,1.86,11.55,6.83,13.73,6.83,6.14,10.53,2.78,4.89,1.38,5.6,7.31,8.22,3.93,1.72,9.11,1.86,2.57,3.73,5.06,2.01,3.3,2.29,4.86,5.86,11.18,8.13,0.93,2.97,3.18,4.73,3.79,0.73,4.43,6.35,4.83,6.49,,,,,,,
June,,,,4.18,3.54,4.83,14.68,,5.43,1.5,6.78,3.64,11.14,5.49,8.39,,,,8.27,2.67,5.61,2.1,11.13,6.78,6.57,6.15,7.15,14.06,3.5,4.35,5.51,6.91,8.24,3.38,3.6,5.45,5.09,5.53,4,1.13,9.6,3.35,5.05,2.55,3.86,4.32,7.4,3.44,4.82,3.15,4.19,7.6,2.05,3.59,7.05,3.8,2.56,11.12,5.81,1.68,2.73,5.67,6.04,9.46,5.46,2.29,2.67,6,5.5,12.09,4.35,2.85,6.09,9.33,7.74,3.57,4.77,8.95,8.35,7.41,6.17,8.89,2.55,3.28,3.66,5.93,2.8,6.25,13.88,4.25,3.41,2.93,6.14,9.62,11.59,10.42,9.48,5.46,7.29,2.87,7.12,4.18,7.02,1.68,7.94,4.89,,,,,,,
July,,,,9.29,5.45,4.19,9.82,,6.88,5.55,3.39,9.22,11.57,1.25,6.9,,,,1.99,5.91,6.71,11,5.65,10.1,9.28,4.49,8.7,10.95,3.5,11.39,4.54,11.81,7.88,3.52,6.57,4.74,7.99,10.38,5.88,1.55,9.7,4.87,7.71,6.69,5.91,6.4,4.43,10.85,4.78,6.13,6.62,4.03,4.91,10.13,4.39,6.33,11.86,5.16,4.66,8.29,4.83,8.02,4.14,1.92,6.1,5.92,5.83,3.03,8.05,3.05,8.02,8.91,6.29,9.04,10.22,3.76,6.09,3.53,12.83,6.61,3.39,9.54,10.74,4.64,5.46,6.57,6.03,6.31,8.13,9.23,8.67,7.18,9.01,6.17,2.54,3.32,12.81,6.51,7.92,5.25,7.4,7.66,6.32,8.88,5.45,,,,,,,,
August,,,,5.02,6.28,7.25,1.13,,4.42,10.84,6.73,17.56,,12.24,5.09,,,,13.43,4.08,1.82,12.6,5.7,12.55,10.69,11.44,7.68,6.03,5.73,7.63,2.8,7.19,8.13,11.42,6.17,3.57,6.21,3.99,7.82,11.36,7.74,8.59,11.01,7.77,8.73,9.89,9.64,7.7,9.03,3.2,8.02,8.6,5.95,16.47,8.45,9.13,8.15,15.22,8.81,8.55,9.79,9.53,3.59,3.95,8.04,6.14,4.39,9.13,11.33,9.36,4.77,5.77,5.66,11.2,7.01,4.57,9.3,6.83,8.33,11.29,11.87,2.74,6.86,10.61,10.4,7.16,6.52,4.25,6.91,5.23,11.45,11.19,11.86,9.1,6.55,5.08,4.67,0.03,7.9,11.1,8.53,10.36,8.57,10.17,7.31,,,,,,,,
September,,,,10.58,8.85,4.83,7.48,,7.59,13.37,5.62,10.69,,17.16,15.52,,,,2.84,14.6,8.4,5.2,15.15,8.25,18.42,5.54,4.64,5.39,16.9,15.97,7.11,3.97,5.97,5.81,7.16,14.29,9.83,7.6,4.13,6.02,9.04,19.51,19.07,13.46,0.63,9.61,8.6,12.41,13.54,13.96,9.7,6.8,8.15,8.47,8.92,11.89,7.42,5.03,11.32,4.8,3.87,8.08,7.05,4.22,7.85,3.47,6.41,15.75,15.53,13.48,6.78,9.8,5.86,14.13,14.39,7.03,9.27,10.7,9.13,10.07,6.88,2.63,12.93,1.67,13.88,15.58,4.36,9.63,9.66,3.11,9.44,5.22,13.63,12.79,9.33,12.95,13.22,12.9,15.65,8.22,20.55,7.16,11.87,10.67,12.3,,,,,,,,
October,,,,10.9,16.69,11.36,3.37,,5.39,5.62,16.43,8.87,,9.22,6.85,,,,13.45,6.23,13.27,5.9,12.52,14.55,24.69,9.73,9.24,16.71,11.94,7.14,3.61,8.61,4.61,11.28,17.32,10.32,6.02,7.94,11.09,4.56,22.07,12.07,7.62,16.72,2.3,8.9,10.34,9.01,8,11.16,13.21,15.05,14.93,16.31,10.62,9.65,11.45,5.33,2.88,18.23,6.78,5.81,13.2,9.91,3.55,3.03,21.69,19.18,20,4.44,3.5,14.62,4.04,18.82,7.46,9.48,8.18,16.83,15.56,23.84,18.85,13.72,16.72,9.99,20.63,23.05,15.6,4.26,20.49,2.18,11.85,11.66,19.4,19.03,12.05,5.64,1.24,8.38,14.86,11.82,16.97,4.6,15.3,11.23,17.36,,,,,,,,
November,,,,10.01,8.51,3.89,9.13,,1.8,9.46,2,16.03,,11.34,8.32,,,,8.28,12.92,4.18,9.4,13.4,11.8,11.23,9.15,4.72,19.18,5.78,6.48,14.87,13.67,13.09,16.85,16.11,8.69,11.66,8.97,14.55,9.99,13.01,7.26,12.77,13.16,15.06,10.38,7.64,9.17,13.26,21.95,5.95,9.96,6.01,14.41,10.7,9.12,12.11,12.66,11.55,11.85,6.54,13.62,16.86,23.48,16.93,5.97,17.8,27.41,13.37,9.46,14,2.6,10.74,10.16,8.83,2.65,10,11.79,17.22,14.2,17.86,11.96,18.02,3.5,6.42,7.89,7.42,2.71,24.26,15.47,18.64,11.86,5.62,10.38,12.15,2.05,10.31,21.75,11.1,11.81,8.73,12.54,8.28,24.6,13.94,,,,,,,,
December,,,,1.95,21.97,12.02,11.3,,12.98,6.79,1,8.05,,24.43,12.32,,,,13.41,7.68,6.45,16.6,8.45,20.95,6.63,14.58,6.81,16.74,2.78,13.04,12.9,16.12,10.36,13.61,15.91,21.9,11.19,11.96,9.34,12.66,2.5,16.62,9.07,21.12,13.87,12.66,10.19,15.16,31.32,8.04,23.24,13.81,16.95,7.28,15.35,14.81,16.69,14.42,12.56,10.56,13.63,16.66,29.59,17.06,15.28,12.22,11.35,8.44,14.84,12.95,8.92,25.6,16.58,11.07,22.77,13.87,12.45,0.5,12.5,22.78,12.5,21.62,12.25,2.76,11.48,5.78,21.25,4.07,12.49,8.15,15.56,13.37,20.65,11.5,10.18,9.81,10.57,7.06,13.36,24.24,6.09,19.67,12.24,10.39,25.06,,,,,,,,
Total,,,,,135.91,73.76,71.07,,81.53,117.36,75.73,121.2,,137.44,92.87,,,,112.36,84.53,85,90,121.3,118.28,157.71,106.72,97.03,137.11,91.83,92.05,101.05,94.67,116.41,105.99,124.12,111.05,94.37,96.04,94.43,88.26,120.61,109.34,111.99,124.22,108.07,86.13,108.85,105.89,141.84,107.44,109.61,95,102.49,151.83,119.7,114.41,128.87,123.54,107.4,98.6,106.13,122.19,124.28,119.55,117.79,85.66,131.23,114.2,123.53,92.2,124.57,133.04,101.24,129.5,108.92,99.3,109.88,109.2,138.05,118.46,117.21,109.4,120.89,77.07,120.68,115.74,84.2,71.96,173.45,93,101.33,82.39,113.96,141.46,118.95,104.33,101.65,97.79,124.04,140.62,121.05,99.95,107.23,121.86,122.61,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1858 Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1869 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1874 Jan-Apr (-999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1921 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1955 Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
