"GLENQUOICH",,,,,,,,,,,,
Grid ref,NH028030,Long,-5.255059,Lat,57.075659,,,,,,,
Station no,5710/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,12.74,11.43,5.72,11.09,21.54,15.28,6.10,6.34,,
February,,,9.86,5.58,5.46,7.98,7.37,9.15,8.89,10.02,,
March,,,4.71,5.97,2.19,4.62,8.00,4.68,8.13,6.73,,
April,,,7.61,4.26,6.26,6.11,3.64,7.63,7.53,9.63,,
May,,,6.19,4.65,5.50,9.89,2.89,9.44,2.57,3.28,,
June,,,1.64,7.36,4.89,5.34,6.21,2.51,10.69,6.35,,
July,,,8.45,5.20,1.54,8.01,7.80,4.18,11.95,4.23,,
August,,,9.79,6.99,3.30,6.21,10.75,6.55,8.78,7.05,,
September,,,10.02,12.20,13.97,8.56,9.34,7.15,4.48,5.57,,
October,,14.12,9.29,17.39,11.38,12.09,20.53,13.94,13.64,2.06,,
November,,7.88,23.80,13.84,4.22,12.40,5.23,2.80,12.58,8.81,,
December,,11.70,10.03,25.12,20.59,21.40,18.83,9.05,13.17,12.74,,
Total,,,114.13,119.99,85.02,113.70,122.13,92.36,108.51,82.81,,
Calc annual,0.00,33.70,114.13,119.99,85.02,113.70,122.13,92.36,108.51,82.81,,
Difference,NaN,NaN,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
