CHILTON-POLDEN-WEST-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST372401,Long,-2.8985,Lat,51.15669,Elevation,100,ft,,,,,,,,,,,,,
Station no,2008,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.78,2.22,2.71,3.07,3.61,1.12,3.11,1.95,2.06,1.79,1.9,0.55,3.01,3.55,2.53,4.77,
February,,,,,0.22,2.96,1.98,2.43,1.28,1.03,0.59,2.02,0,3.88,0.29,2.39,2.03,4.4,0.89,1.05,
March,,,,,0.72,0.36,0.82,3.13,2.52,0.14,2.09,1.01,1.46,2.28,1.85,0.82,2.58,4.01,,0.93,
April,,,,,2.22,2.27,2.46,1.54,1.11,0.69,2.56,1.91,2.21,1.1,2.27,3.83,2.28,2.69,0.09,,
May,,,,,3.55,3.55,1.41,1.28,1.09,2.11,1.66,3.18,3.12,1.63,0.74,1.11,0.8,7.19,2.52,,
June,,,,,3.69,0.02,2.68,2.5,2.47,2.37,0.53,4.01,0.85,1.58,1.7,2.29,2.69,0.71,1.18,,
July,,,,,3.58,3.13,3.54,3.21,1.45,0.74,2.45,5.21,1.91,1.98,0.47,0.43,5.07,3.78,3.26,,
August,,,,,7.86,4.62,1.65,2.87,1.88,3.05,2.94,3.23,1.6,0.86,4.04,1.75,0.5,1.46,2.62,,
September,,,,,3.96,3.11,1.73,6.18,1.31,0.37,3.59,1.96,5.15,1.89,2.31,3.36,4.04,2.94,3.36,,
October,,,,,4.61,2.3,4.96,2.05,5.53,4.55,2.63,0.74,5.9,2.95,3.32,4.3,1.52,2.97,2.65,,
November,,,,,2.8,2.07,5.58,2.78,3.07,7.58,3.86,3.81,2.58,0.54,1.31,5.76,2.78,2.41,3.99,,
December,,,,,3.29,2.51,0.33,2.58,2.79,6.15,3.41,1.35,1.9,0.84,6.17,3.32,1.62,1.92,3.23,,
Total,,,,,40.28,29.12,29.85,33.62,28.11,29.9,29.42,30.38,28.74,21.32,26.37,29.91,28.92,38.03,,,
,,,,,,,,,,,,,,,,,,,,,
1938 Mar Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1938 July 26 Inspection Exposure excellent Recommend new gauge ,,,,,,,,,,,,,,,,,,,,,
1938 Oct Gauge altered so no risk of splashing,,,,,,,,,,,,,,,,,,,,,
