CHEDDLETON-COUNTY-MENTAL-HOSPITAL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ972534,Long,-2.0432482,Lat,53.077819,Elevation,550,ft.,,,,,,,,,,,,,
Station no,2369,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,3.68,7.33,3.08,4.92,4.26,3.5,2.15,3.28,,,,,,
February,,,,,,,,2.55,3.81,0.88,0.61,4.16,0.28,5.28,0.41,,,,,,
March,,,,,,,,4.79,2.17,0.63,2.9,0.19,2.59,2.57,2.31,,,,,,
April,,,,,,,,3.04,1.66,0.88,3.92,5.19,3.6,1.32,1.82,,,,,,
May,,,,,,,,1.5,0.54,1.9,2.44,3.48,5.17,1.89,1.89,,,,,,
June,,,,,,,,6.34,4.54,1.73,1.53,5.46,1.03,2.83,1.23,,,,,,
July,,,,,,,,5.7,1.17,3.2,7.54,4.4,3.77,2.85,,,,,,,
August,,,,,,,,5.31,5.77,3.56,4.3,5.49,2.29,0.9,3.33,,,,,,
September,,,,,,,,4.25,1.93,1.78,4.1,3.67,2.74,0.81,2.2,,,,,,
October,,,,,,,,2.85,4.78,4.41,5.1,1.14,6.94,5.65,3.15,,,,,,
November,,,,,,,,3.84,5.93,8.42,3.74,5.92,2.9,1.8,1.88,,,,,,
December,,,,,,,,1.58,3.04,6.67,4.01,2.09,1.6,0.36,6.08,,,,,,
Total,,,,,,,,45.43,42.67,37.14,45.11,45.45,36.41,28.41,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is the hospital. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
