"HALTWHISTLE, BELLISTER CASTLE",,,,,,,,,,,,,,,,,,,,
Grid ref,NY700629,Long,-2.470032,Lat,54.959825,Elevation,380,ft,,,,,,,,,,,,
Station no,RR4814,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.56,1.54,4.01,3.37,4.86,2.33,2.15,3.09,3.4,3.46,5.96,2.43,3.56,
February,,,,,,,1.88,2.24,4.57,3.28,6.1,4.82,2.59,2.6,3.31,3.6,4.65,0.98,3.1,
March,,,,,,,3.19,4.64,4.87,3.74,1.41,2.35,5.31,5.45,3.76,2.38,3.47,2.18,1.07,
April,,,,,,,1.04,2.25,2.25,3.59,2.99,2.67,0.76,2.83,2.21,2.27,3.07,2.54,1.2,
May,,,,,,,5.06,4.57,2.32,1.56,3.17,2.03,2.98,1.62,2.11,2.25,3.5,3.39,1.83,
June,,,,,,,2.59,4.79,1.69,1.8,1.8,3.62,6.76,2.54,2.59,1.42,3.34,1.91,0.83,
July,,,,,,,2.48,3.36,2.63,5.02,4.17,1.15,3.07,1.4,2.6,3.13,4.22,0.82,4.58,
August,,,,,,,5.49,3.58,3.66,3.57,4.26,3.14,5.31,2.04,2.28,2.82,3.77,6.41,2.7,
September,,,,,,,1.37,0.3,3.65,2.5,0.41,2.35,3.27,2.35,1.85,1.43,2.31,3.17,7.82,
October,,,,,,,5.36,6.24,2.09,5.25,2.87,4.5,3.26,3.07,1.45,0.63,6.28,4.66,4.02,
November,,,,,,,4.1,1.76,2.53,1.86,3.85,4.93,4.28,3.69,6.59,1.6,5.33,4.05,2.02,
December,,,,,,,3.48,4.8,1.63,4.61,2.8,5.28,5.01,3.13,7.53,5.37,4.12,2,3.35,
Total,,,,,,,41.6,40.07,35.9,40.15,38.69,39.17,44.75,33.81,39.68,30.36,50.02,34.54,36.08,
