"HALTWHISTLE, BELLISTER CASTLE",,,,,,,,,,,,
Grid ref,NY700629,Long,-2.470032,Lat,54.959825,,,,,,,
Station no,RR4814,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.56,1.54,4.01,3.37,,
February,,,,,,,1.88,2.24,4.57,3.28,,
March,,,,,,,3.19,4.64,4.87,3.74,,
April,,,,,,,1.04,2.25,2.25,3.59,,
May,,,,,,,5.06,4.57,2.32,1.56,,
June,,,,,,,2.59,4.79,1.69,1.80,,
July,,,,,,,2.48,3.36,2.63,5.02,,
August,,,,,,,5.49,3.58,3.66,3.57,,
September,,,,,,,1.37,0.30,3.65,2.50,,
October,,,,,,,5.36,6.24,2.09,5.25,,
November,,,,,,,4.10,1.76,2.53,1.86,,
December,,,,,,,3.48,4.80,1.63,4.61,,
Total,,,,,,,41.60,40.07,35.90,40.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,41.60,40.07,35.90,40.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
