FARNHAM-SHORT-HEATH-(LODGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU835451,Long,-0.80523,Lat,51.19935,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.15,3.22,1.59,1.05,2.57,4.13,0.97,4.94,1.03,2.3,0.99,2.52,1.25,3.35,3.72,0.62,4.91,1.24,1.31,3.66,4.6,3.39,2.67,3.89,1.85,2.72,2.82,5.08,2.33,4.43,1.56,4.6,1.87,3.33,2.53,2.56,0.71,5.5,6.77,3.34,5.18,
February,,,,,,,,,,3.12,5.07,1.73,1.35,1.6,3.8,0.82,2.69,1.48,1.13,0.45,3.71,1.51,2.63,1.02,4.77,5.16,4.85,1.06,1.4,2.57,0.53,0.29,2.75,4.66,0.53,4.26,1.83,4.75,2.34,0.58,1.06,2.07,0.14,4.29,0.06,3.57,2.43,4.96,0.59,1.26,
March,,,,,,,,,,0.77,0.94,2.19,1.85,3.72,1.51,4.31,1.6,0.84,3.22,3.8,0.97,1.73,3.51,3.16,4.1,0.72,4.28,2,1.01,4.01,1.88,1.27,2.3,2.38,1.09,0.55,0.38,3.78,2.73,0.13,1.28,0.3,1.89,3.61,3.03,0.5,1.76,4.08,0.2,1.34,
April,,,,,,,,,1.44,2.61,1.19,2,1.39,2.2,1.46,1.3,0.68,4.36,3.84,1.98,1.87,1.58,0.05,2.68,1.38,1.1,0.85,1.78,2.72,2.8,3.42,1.14,3.23,2.71,3.3,2.29,3.09,1.92,1.64,0.7,2.31,3.85,2.59,0.89,2.35,3.92,1.9,2.67,0.05,2.36,
May,,,,,,,,,3.09,1.29,1.72,0.47,2.57,2.93,3.17,1.03,2.31,2.05,2.13,1.81,2.01,2.16,1.99,2.27,1.15,3.38,1.41,1.93,1.42,0.2,1.02,1.68,0.89,2.29,3.3,4.09,1.55,1.36,2,1.73,2.06,3.88,5.04,3.57,0.79,1.19,0.73,3.84,1.46,1.56,
June,,,,,,,,,1.76,1.66,2.23,1.71,3.43,4.4,0.87,5,2.29,1.86,1.02,3.82,4.42,2.04,3.69,0.34,0.43,0.93,2.4,3.11,0.91,0.99,2.03,0.06,1.14,0.5,3.16,0.02,2.61,3.56,2.38,1.57,0.59,2.18,1.22,1.21,1.14,3.3,3.69,1.39,0.52,1.6,
July,,,,,,,,,0.37,1.15,1.11,4.87,1.15,4.99,1.52,0.46,0.48,1.98,1.75,2.65,2.56,0.78,1.86,1.02,2.18,4.64,0.83,4.53,5.8,1.62,5.2,0.29,4.2,1.19,4,2.84,1.07,3.8,2.09,2.14,1.49,3.73,1.99,2.45,1.75,1.12,3.98,0.72,1.59,,
August,,,,,,,,,2.31,1.15,2.73,1.56,3.63,3.85,2.22,3.02,0.78,2.72,4.42,1.68,3.11,0.93,4.4,1.17,1.52,1.27,4.35,5.55,1.13,2.83,1.5,1.69,2.26,2.89,2.79,3.45,1.35,3.29,2.32,1.38,3.88,4.51,1.59,0.87,2.57,2.96,1.01,1.63,1.8,,
September,,,,,,,,,0.96,2.38,0.62,1.52,0.72,2.67,1.57,2.24,1.21,0.66,1.86,3.25,0.35,0.96,3.03,2.45,1.13,2.18,2.09,1.94,5.5,1.75,2.31,1.12,1.56,1.32,4.22,3.05,0.84,5.33,1.3,0.17,3.52,1.83,3.02,4.26,1.77,4.78,2.46,2.97,1.33,,
October,,,,,,,,,3.87,3.87,2.28,2.71,1.71,8.8,1.89,1.82,5.14,6.16,2.89,5.49,3.43,3.49,3.13,4.13,2.15,3.89,5.27,4.09,1.4,0.63,2.4,0.58,1.02,6.03,3.71,3.86,2.64,1.75,5.49,3.85,1.46,0.57,5.3,0.95,1.51,3.81,2.16,2.97,3.37,,
November,,,,,,,,,3.42,5.32,2.5,0.6,2.97,2.11,1.45,3.21,4.48,2.29,0.88,0.51,3.44,4.41,1.95,2.53,3.19,2.35,4.56,0.95,2.75,1.75,1.43,1.84,1.8,1.72,2.9,1.87,6.16,4.02,2.56,7.91,5.32,3.59,1.58,0.88,2.66,6.09,3.72,2.6,4.83,,
December,,,,,,,,,2.87,1.7,3.91,4.17,1.71,3.01,2.93,0.73,2.46,3.61,3,3.91,5.12,7.78,3.51,1.54,9.24,6.71,2.97,1.13,2.12,5.32,2.65,1.7,4.42,2.83,5.16,3.72,0.31,4.42,2.83,7.85,2.58,0.63,0.89,0.59,7.18,3.18,3.55,4.56,4,,
Total,,,,,,,,,,28.17,27.52,25.12,23.53,42.85,26.52,24.91,29.06,29.04,28.44,30.34,33.51,28.62,33.1,26.03,31.86,37.24,35.1,29.38,29.82,29.07,27.76,14.33,29.46,30.37,36.88,32.82,26.91,40.31,32.11,29.57,30.15,29.01,28.58,26.1,27.37,35.13,32.89,39.16,23.08,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortheath Lodge found on one OS map but on others it is called The Hollies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906 Sept Gauge moved 10yds N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Aug 24th Inspection See green file for report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Total corrected as all monthly records seem correctly transcribed Written total 27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Mar Gauge moved 40yds W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 New sheet started as station number changed to 187/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 July Gauge moved to new position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
