KINGSTON ST MARY (HILLSIDE),,,,,,,,,,,,
Grid ref,ST221300,Long,-3.113057,Lat,51.064029,,,,,,,
Station no,2076/8/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.93,4.29,3.22,2.29,2.70,3.50,4.25,,
February,,,,2.49,2.69,0.17,3.66,2.87,0.22,2.98,,
March,,,,3.55,1.15,0.45,1.93,0.73,2.94,2.28,,
April,,,,0.18,0.83,1.74,0.04,0.81,2.25,2.02,,
May,,,,1.74,4.05,0.19,1.22,2.53,0.73,1.22,,
June,,,,2.17,2.90,1.28,2.69,2.56,1.04,1.44,,
July,,,,2.63,1.48,2.12,2.92,2.72,1.66,3.33,,
August,,,,2.41,0.62,2.74,2.60,2.63,1.34,3.58,,
September,,,,3.19,1.68,5.44,3.28,3.54,0.12,3.23,,
October,,,,2.08,1.32,1.70,2.38,1.46,3.21,11.10,,
November,,,,5.48,2.84,0.63,1.98,3.09,4.38,2.96,,
December,,,,2.54,5.34,3.78,2.18,3.39,5.38,3.88,,
Total,,,,30.39,29.19,23.46,27.17,29.03,26.77,42.27,,
Calc annual,0.00,0.00,0.00,30.39,29.19,23.46,27.17,29.03,26.77,42.27,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
