"STONEHAVEN, MAINS OF COWIE",,,,,,,,,,,,
Grid ref,NO876868,Long,-2.205591,Lat,56.972247,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.68,1.22,0.71,3.28,1.60,0.32,1.60,1.50,1.48,1.44,,
February,2.69,2.92,1.18,3.21,3.50,1.10,1.63,1.69,1.34,0.79,,
March,1.62,1.27,1.19,1.68,2.13,2.86,1.44,1.12,3.86,4.93,,
April,1.27,1.96,2.53,1.70,0.93,1.96,1.67,0.86,1.88,2.88,,
May,1.07,1.84,3.44,2.09,2.15,1.36,6.00,2.81,1.71,2.06,,
June,2.52,2.25,2.51,1.59,0.54,0.36,1.07,4.52,1.25,1.35,,
July,2.82,1.57,3.69,5.28,0.40,2.76,0.91,1.40,2.24,4.50,,
August,3.93,1.49,2.09,3.48,2.57,3.16,4.14,2.35,2.63,2.62,,
September,1.98,1.19,1.67,2.94,1.69,3.35,0.56,1.35,3.06,1.27,,
October,3.08,2.55,0.97,2.86,0.85,2.61,6.44,5.97,2.29,2.47,,
November,3.42,1.80,1.80,1.85,1.10,5.18,4.01,1.91,1.40,1.43,,
December,3.17,2.12,2.40,1.86,1.91,0.95,3.30,3.20,1.30,4.52,,
Total,31.25,22.18,24.18,31.82,19.37,25.97,32.77,28.68,24.44,30.26,,
Calc annual,31.25,22.18,24.18,31.82,19.37,25.97,32.77,28.68,24.44,30.26,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
