"MALHAM TARN new gauge 8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD893672,Long,-2.165119,Lat,54.100579,Elevation,1297,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3311/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,0.63,1.26,5.2,8.34,9.39,4.01,8.23,4.96,4.07,3.77,8.68,4.94,5.36,2.51,6.81,5.03,4.5,2.03,5.52,9.28,7.12,4.55,5.82,6.97,5.7,3.87,8.01,3.79,5.61,3.69,10,2.55,5.22,6.45,5.22,8.52,6.66,5.81,5.78,7.5,6.54,11.2,5.65,7.87,4.71,5.63,,,,,
February,4.69,6.89,5.03,4.38,4.47,4.9,2.16,2.1,2.83,3.74,1.07,1.13,4.19,7.73,8.92,1.57,2.96,4.83,6.34,3.58,4.86,2.05,1.91,6.77,4.23,4.1,3.96,3.18,5.05,4.66,8.61,7.1,3.02,2.94,5.18,7.95,6.11,1.83,7.66,1.67,5.82,0.8,5.88,8.54,2.24,7.17,,,,,
March,4.37,7.93,6.33,1.51,4.37,4.34,6.29,2.71,5.22,6.44,6.63,4.05,1.27,2.26,5.49,5.09,8.32,7.64,3.75,3.55,0.6,4.31,3.66,8.54,3.31,5.3,5,5.88,5.63,4.05,1.45,2.94,9.62,7.3,8.05,2.81,3.22,2.53,2.31,5.54,5.17,5.17,3.66,2.66,2.28,2.51,,,,,
April,3.04,2.61,6.69,3.25,2.51,2.25,3.92,2.14,3.49,3.24,2.28,2.48,2.63,0.96,2.92,3.74,3.13,3.33,4.65,5.46,3.84,3.63,2.58,4.19,5.1,6.12,1.93,4.14,3.81,5.21,4.05,3.06,2.25,6.44,1.84,2.87,4.56,2.37,1.46,3.89,7.7,2.22,3.12,4.43,3.11,4.27,,,,,
May,2.12,4.41,2.57,1.37,4.16,3.45,5.57,2.89,2.35,2.87,3.86,2.51,6.63,3.45,3.54,1.2,0.54,3.51,3.18,4.65,2.52,2.1,3.12,3.73,3.75,1.46,7.76,5.51,3.78,3.07,2.65,2.34,3.66,3.74,4.05,1.64,3.71,2.28,2.1,1.98,7.06,3.45,2.5,5.89,6.52,5.37,,,,,
June,6.47,4.45,7.32,6.66,0.57,3.04,2.49,0.32,2.82,0.71,5.98,2.42,4.62,3.22,4.15,2.98,3.93,5.12,5.09,1.42,4.75,2.45,1.74,2,2.18,3.21,2.59,8.51,2.57,3.44,3.5,3.7,9.22,2.81,2.38,0.43,3.43,3.08,2.12,1.85,2.35,0.81,4.56,1.82,3.65,0.22,,,,,
July,8.22,8.21,10.39,5.74,7.35,2.09,6.56,2.98,7.18,4.72,5.22,6.08,2.64,5.39,4.03,8.18,3.91,2.36,1.83,3.13,3.67,1.89,5.19,5.64,2.2,2.2,3.08,4.02,6.79,8.08,5.16,1.21,5.79,1.24,4.61,5.18,4.42,2.4,5.23,3.25,9.63,2.81,8.93,7.04,7.2,3.1,,,,,
August,3.24,8.13,5.54,4.81,2.7,2.81,3.04,3.28,6.88,9.92,8.35,11.43,8.87,5.44,5.89,6.41,3.03,10.19,7.19,2.35,7.96,6.5,3.39,6.92,4.47,5.35,6.35,5.58,5.94,5.33,7.61,2.89,8.06,2.27,3.37,3.66,6.07,11.14,5.68,4.88,4.39,6.91,5.98,8.42,9.04,7.15,,,,,
September,5.54,2.76,3.66,7.2,3.46,6.78,5.48,7.7,2.59,3.75,5.16,4.97,5.45,5.64,0.59,2.67,9.95,6.12,2.7,8.21,2.64,2.63,2.04,6.52,2.11,5.55,2.24,1.25,7.52,4.7,0.75,5,2.98,2.64,3.55,1.23,3.56,3.77,13.24,3.19,2.73,3.2,5.35,8.34,6.21,4.57,,,,,
October,3.09,4.74,5.21,8.64,4.81,7.63,7.71,3.36,2.5,6.41,6.14,6.2,7.78,6.38,6.99,6.59,4.95,2.75,5.97,3.63,9.73,4.41,5.28,13.61,2.91,4.49,11.19,6.09,4.15,7.63,4.64,5.41,5.48,2.5,3.21,1.47,12.9,7.87,5.47,3.68,2.75,4.64,1.84,9.16,6.37,7.1,,,,,
November,6.79,8.72,8.29,6.29,3.53,3.43,5.49,4.35,9.74,3.13,10.25,5.56,3.81,4.19,4.78,5.89,1.83,4.7,4.03,4.49,6.98,9.09,3.94,4.07,6.79,6.42,6.88,4.27,4.21,2.95,5.19,7.05,6.01,7.61,7.94,2.95,5.27,7.04,2.75,4.96,3.97,3.93,3.88,7.13,5.11,3.13,,,,,
December,10.06,5.25,6.9,5.78,8.35,3.16,6.98,4.51,5.01,4.32,0.94,9.58,3.81,5.58,6.12,5.98,7.95,9.59,7.25,4.73,6.7,7.73,5.42,4.05,4.5,3.01,4.82,7.58,4.71,7.01,7.82,8.58,6.8,3.92,8.82,9.59,3.81,3.18,9.67,9.77,5.76,9.96,5.96,5.82,8.32,5.72,,,,,
Total,58.26,65.36,73.13,63.97,55.67,47.89,63.92,41.3,54.68,53.02,64.56,61.35,57.06,52.75,60.23,55.33,55,62.17,57.5,54.48,61.37,51.34,44.09,73.01,47.25,51.08,63.81,59.8,59.77,59.82,61.43,51.83,68.11,49.86,58.22,48.3,63.72,53.3,63.47,52.16,63.87,55.1,57.31,77.12,64.76,55.94,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TYRain_1880-1889_10_pt2-page-066.csv 1880,81 and most 1882 values duplicate those in old gauge - page 63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1890, 1891 AND 19078 MOSTLY DUPLICATE VALUES FOR THE OLD 5"" GAGE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
