EGHAM-WW-(EAST-8IN-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ025716,Long,-0.52685,Lat,51.43437,Elevation,55,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,243/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,0.95,3.01,1.06,2.01,1.86,1.55,1.25,4.88,4.21,2.68,4.99,2.25,2.93,3.59,4.64,1.77,1.7,1.99,,,,
February,,,,,,,,,,0.19,0.66,1.49,0.05,2.83,0.13,2.57,1.88,4.33,0.37,1.03,2.04,2.34,0.78,1.29,0.88,1.61,2.88,,,,
March,,,,,,,,,,0.09,1.1,0.18,1.68,2.35,2.17,0.29,1.19,2.91,0.22,1.12,2.99,3.64,1.73,0.52,0.13,0.49,1.16,,,,
April,,,,,,,,,,0.85,1.69,3.68,1.89,0.73,1.36,3.05,1.55,2.23,0.09,2.3,2.08,1.79,1.18,1.07,1.39,1.32,2.38,,,,
May,,,,,,,,,,1.78,2.09,2.41,4.27,2.06,0.51,1.23,0.36,2.3,1.93,1.95,1.69,1.84,2.76,2.3,0.61,1.86,3.52,,,,
June,,,,,,,,,,0.95,1.86,1.6,0.79,1.58,1.02,3.15,3.03,2.15,0.47,1.28,0.63,1.91,0.28,1.24,1.57,1.92,3.04,,,,
July,,,,,,,,,,1.35,1.88,2.88,1.99,1.06,2.65,0.79,3.06,1.12,0.8,3.51,2.52,3.59,1.37,2.38,1.55,4.93,2.35,,,,
August,,,,,,,,,,1.24,2.87,4.52,1.34,0.5,2.73,2.05,0.74,1.47,1.53,2.15,0.08,5.62,2.78,1.35,3.03,1.52,4.59,,,,
September,,,,,,,,,,0.04,2.64,1.69,2.17,2.39,1.99,3.42,2.43,1.59,1.26,0.98,1.56,0.36,0.99,2.46,2.14,2.22,3.27,,,,
October,,,,,,,,,,3.12,0.76,0.58,4.64,1.6,1.62,2.73,1.53,2.79,2.48,4.5,3.17,0.91,2.85,3.12,3.4,3.27,1.12,,,,
November,,,,,,,,,,5.58,3.91,2.34,1.4,0.94,2.16,4.92,2.86,1.51,3.1,5.22,6.45,2.8,2.03,1.61,4.11,0.31,5.2,,,,
December,,,,,,,,,,5.5,1.85,0.56,0.41,0.37,5.15,2.47,1.5,3.5,2.83,1.23,1.16,1.73,3.07,1.48,1.63,3.26,2.38,,,,
Total,,,,,,,,,,21.64,24.32,22.99,22.64,18.27,23.04,27.92,25.01,30.11,17.76,30.26,26.62,29.46,23.41,23.46,22.21,24.41,33.88,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8in Glaisher ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 March 5in Gauge supplied to replace existing Glaisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec 17-27th Adjusted for snow from check gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Gauge accidentally destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
