"EGHAM (WATERWORKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,243/4,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.93,3.59,4.64,1.77,1.70,1.99,,,,,,
February,2.34,0.78,1.29,0.88,1.61,2.88,,,,,,
March,3.64,1.73,0.52,0.13,0.49,1.16,,,,,,
April,1.79,1.18,1.07,1.39,1.32,2.38,,,,,,
May,1.84,2.76,2.30,0.61,1.86,3.52,,,,,,
June,1.91,0.28,1.24,1.57,1.92,3.04,,,,,,
July,3.59,1.37,2.38,1.55,4.93,2.35,,,,,,
August,5.62,2.78,1.35,3.03,1.52,4.59,,,,,,
September,0.36,0.99,2.46,2.14,2.22,3.27,,,,,,
October,0.91,2.85,3.12,3.40,3.27,1.12,,,,,,
November,2.80,2.03,1.61,4.11,0.31,5.20,,,,,,
December,1.73,3.07,1.48,1.63,3.26,2.38,,,,,,
Total,29.46,23.41,23.46,22.21,24.41,33.88,,,,,,
Calc annual,29.46,23.41,23.46,22.21,24.41,33.88,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
