"EGHAM (WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ023717,Long,-0.529694,Lat,51.435073,,,,,,,
Station no,243/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.97,1.81,0.70,1.06,2.58,3.73,1.87,2.44,2.38,2.24,,
February,5.56,0.79,1.36,2.11,1.43,0.12,3.05,2.76,0.09,2.05,,
March,3.28,3.43,0.40,2.01,1.01,0.52,1.10,1.38,1.92,1.12,,
April,2.64,1.47,2.62,0.31,0.27,1.18,0.19,1.08,2.38,0.48,,
May,2.03,2.37,1.56,3.47,4.23,0.17,1.07,2.43,0.51,1.75,,
June,0.79,1.16,1.23,3.71,2.22,1.92,1.42,4.42,0.48,1.45,,
July,1.20,0.43,3.60,2.39,0.55,4.60,3.53,1.94,2.00,3.04,,
August,3.51,3.19,1.76,2.90,0.79,3.95,5.08,2.95,2.21,3.17,,
September,2.58,3.42,1.89,2.45,1.62,2.77,2.75,3.65,0.08,2.51,,
October,0.91,2.89,2.93,2.54,3.65,3.46,2.02,2.42,2.67,6.25,,
November,5.98,2.81,1.27,4.55,1.26,0.44,2.56,2.02,2.53,3.47,,
December,1.93,3.10,0.61,2.28,2.01,3.22,1.63,3.28,3.70,2.28,,
Total,34.38,26.87,19.93,29.78,21.62,26.08,26.27,30.77,20.95,29.81,,
Calc annual,34.38,26.87,19.93,29.78,21.62,26.08,26.27,30.77,20.95,29.81,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
