EGHAM-WW-(WEST-5IN-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ023717,Long,-0.529694,Lat,51.4351,Elevation,54,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,243/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.64,4.77,2.98,2.99,3.59,4.74,1.72,1.71,1.75,1.67,3.92,0.85,0.64,3.97,1.81,0.7,1.06,2.58,3.73,1.87,2.44,2.38,2.24
February,,,,,,,,0.34,0.98,1.98,2.25,0.84,1.25,0.85,1.6,2.81,1.44,1.02,1.04,3.62,5.56,0.79,1.36,2.11,1.43,0.12,3.05,2.76,0.09,2.05
March,,,,,,,,0.23,1.02,2.92,3.53,1.71,0.53,0.14,0.52,1.08,4.5,0.51,1.18,0.83,3.28,3.43,0.4,2.01,1.01,0.52,1.1,1.38,1.92,1.12
April,,,,,,,2.09,0.08,2.26,1.98,1.74,1.26,1.04,1.36,1.26,2.19,1.44,1.3,1.38,3.06,2.64,1.47,2.62,0.31,0.27,1.18,0.19,1.08,2.38,0.48
May,,,,,,,2.29,1.95,1.82,1.61,1.94,2.67,2.23,0.53,1.87,3.47,1.39,3.23,2,1.75,2.03,2.37,1.56,3.47,4.23,0.17,1.07,2.43,0.51,1.75
June,,,,,,,2.13,0.45,1.13,0.57,1.99,0.28,1.24,1.59,1.93,2.99,2.29,3.33,0.29,1.3,0.79,1.16,1.23,3.71,2.22,1.92,1.42,4.42,0.48,1.45
July,,,,,,,1.12,0.75,3.18,2.5,3.63,1.35,2.45,1.59,4.2,2.18,1.4,1.14,1.33,4.11,1.2,0.43,3.6,2.39,0.55,4.6,3.53,1.94,2,3.04
August,,,,,,,1.45,1.55,2.09,0.08,5.54,2.67,1.29,3.1,1.33,4.39,0.36,2.66,1.38,2.79,3.51,3.19,1.76,2.9,0.79,3.95,5.08,2.95,2.21,3.17
September,,,,,,,1.58,1.23,0.97,1.51,0.4,0.95,2.5,2.08,2.14,3,1.17,1.26,0.99,2.61,2.58,3.42,1.89,2.45,1.62,2.77,2.75,3.65,0.08,2.51
October,,,,,,,2.72,2.33,4.46,2.96,0.94,2.85,2.94,3.3,3.23,1.08,0.17,2.14,5.23,0.39,0.91,2.89,2.93,2.54,3.65,3.46,2.02,2.42,2.67,6.25
November,,,,,,,1.47,3.01,4.97,7.09,2.77,2.1,1.49,3.98,0.3,4.75,1.15,1.99,2.14,5.13,5.98,2.81,1.27,4.55,1.26,0.44,2.56,2.02,2.53,3.47
December,,,,,,,3.4,2.78,1.1,1.12,1.74,2.94,1.43,1.65,3.18,2.27,2.79,2.97,1.52,1.55,1.93,3.1,0.61,2.28,2.01,3.22,1.63,3.28,3.7,2.28
Total,,,,,,,,17.34,28.75,27.3,29.46,23.21,23.13,21.89,23.27,31.96,19.77,25.47,19.33,27.78,34.38,26.87,19.93,29.78,21.62,26.08,26.27,30.77,20.95,29.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Observers total for Aug reduced by one inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Feb 23rd Inspection Site satisfactory between filter beds but ground liable to flooding and new site chosen by request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New site satisfactory Midst WW buildings Tree SW just under shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New site TQ022717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
