FARINGDON-SHELLINGFORD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU318937,Long,-1.5418589,Lat,51.641209,Elevation,275,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,821/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.68,1.79,0.56,2.62,3.32,2.24,3.9,2.49,2.56,2.79,4.13,1.14,1.48,1.54,1.23,4.88,1.4,0.35,2.92,1.49,0.98,1.39,2.41,3.92,1.85,,,
February,,,3.57,0.14,1.98,2.08,4.82,0.51,1.07,1.94,2.2,0.77,0.86,0.77,1.69,2.21,1.37,1.09,0.94,4.16,3.71,0.66,1.05,2.38,1.61,0.4,2.79,,,
March,,,2.61,1.7,0.64,1.97,3.14,0.28,1.6,2.39,2.83,1.9,0.95,0.25,0.83,0.97,4.22,0.85,1.2,0.71,3.51,2.45,0.64,2.02,1.39,0.45,1.53,,,
April,,,1.15,2.15,,1.15,3.66,0.05,3.64,1.29,1.23,1.08,0.53,1.53,1.03,1.71,2.06,1.5,1.3,1.84,2.71,1.48,2.11,0.45,0.47,1.62,0.28,,,
May,,,1.85,0.65,1.56,0.68,2.53,2.39,1.52,1.68,1.46,3.26,2.37,0.76,2.01,3.64,2,3.92,1.6,2.4,2.93,2.84,1.7,1.81,4.41,0.53,1.8,,,
June,,,1.17,1.59,4.11,2.44,1.88,1.14,2.05,0.56,1.73,0.31,1.37,1.39,3.13,2.72,1.32,2.02,0.64,1.22,1.4,1.98,1.99,3.9,3.4,2.01,2,,,
July,,,1.7,0.73,0.63,3.25,1.49,1.35,3.13,2.59,2.58,1.99,1.28,2.42,1.59,0.97,2.18,0.87,1.6,4.32,1.35,0.44,2.14,2.02,0.17,2.15,3.05,,,
August,,,0.8,1.5,1.73,0.74,0.9,2.85,2.79,0.02,3.51,3.16,2.32,1.72,1.81,5.28,0.66,3.76,1.29,3.07,3.64,5.29,2.18,3.04,0.33,5.52,3.19,,,
September,,,2.46,1.69,,3.07,1.51,1.72,0.57,0.65,0.52,1.04,1.13,2.54,1.86,3.52,1.1,1.79,3.87,2.6,3,1.16,2.22,1.98,1,3,2.91,,,
October,,,1.91,1.35,4.89,1.34,3.47,2.89,4.92,2.58,1.46,3.66,2.47,3.41,2.87,0.84,0.38,2.53,5.67,1.16,0.8,3.49,2.92,2.08,1.75,1.61,2.19,,,
November,,,0.61,1.56,4.26,3.03,0.91,2.44,4.52,7.11,2.69,2.15,1.73,4.11,0.23,4.57,1.43,1.76,3,4.38,5.97,4.29,1.41,5.32,1.47,0.85,2.1,,,
December,,,0.48,5.1,3.14,2.49,1.75,2.58,1.31,1.1,1.26,3.46,1.15,1.36,3.22,1.63,1.59,3.11,0.91,1.15,1.86,2.12,0.83,2.5,3.29,3.87,2.2,,,
Total,,,19.99,19.95,,24.86,29.38,20.44,31.02,24.4,24.03,25.57,20.29,21.4,21.75,29.6,19.54,28.08,23.42,27.36,33.8,27.69,20.17,28.89,21.7,25.93,25.89,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record. Altitudes are reasonable match. Shellingford House is actually 200m SSE so NGR my be +/- 200m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
