"FARINGDON (SHELLINGFORD HOUSE)",,,,,,,,,,,,
Grid ref,SU318937,Long,-1.541859,Lat,51.641209,,,,,,,
Station no,821/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.92,1.49,0.98,1.39,2.41,3.92,1.85,,,,,
February,3.71,0.66,1.05,2.38,1.61,0.40,2.79,,,,,
March,3.51,2.45,0.64,2.02,1.39,0.45,1.53,,,,,
April,2.71,1.48,2.11,0.45,0.47,1.62,0.28,,,,,
May,2.93,2.84,1.70,1.81,4.41,0.53,1.80,,,,,
June,1.40,1.98,1.99,3.90,3.40,2.01,2.00,,,,,
July,1.35,0.44,2.14,2.02,0.17,2.15,3.05,,,,,
August,3.64,5.29,2.18,3.04,0.33,5.52,3.19,,,,,
September,3.00,1.16,2.22,1.98,1.00,3.00,2.91,,,,,
October,0.80,3.49,2.92,2.08,1.75,1.61,2.19,,,,,
November,5.97,4.29,1.41,5.32,1.47,0.85,2.10,,,,,
December,1.86,2.12,0.83,2.50,3.29,3.87,2.20,,,,,
Total,33.80,27.69,20.17,28.89,21.70,25.93,25.89,,,,,
Calc annual,33.80,27.69,20.17,28.89,21.70,25.93,25.89,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,,
