"MUSSELBURGH, PINKIEBURN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7373,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,1.50,0.93,2.00,2.32,2.36,1.50,,,,
February,,,2.03,2.77,0.78,3.24,2.15,0.70,,,,
March,,,1.41,0.69,0.85,2.12,1.40,1.30,,,,
April,,,1.66,2.26,0.67,2.45,1.32,1.02,,,,
May,,,0.77,1.80,3.99,3.48,2.96,1.68,,,,
June,,,1.93,0.79,1.67,0.47,2.91,2.72,,,,
July,,,3.59,1.96,3.76,1.70,2.23,3.24,,,,
August,,,1.37,4.30,2.39,3.75,2.13,7.02,,,,
September,,,1.59,1.70,2.44,4.83,3.31,6.48,,,,
October,,,1.72,1.56,2.44,1.53,3.84,2.60,,,,
November,,,0.91,3.56,0.92,0.79,2.66,1.23,,,,
December,,,1.92,2.07,2.31,3.10,0.55,1.60,,,,
Total,,,20.40,24.39,24.22,29.78,27.82,31.09,,,,
Calc annual,0.00,0.00,20.40,24.39,24.22,29.78,27.82,31.09,0.00,0.00,0.00,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,
