HARWICH-COASTGUARD-STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,TM26203271,Long,1.2899812,Lat,51.946867,Elevation,40,ft,,,,,,,,,,,,
Station no,RR6680,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.56,1.93,2.12,0.71,2.54,0.89,0.86,0.76,1.04,1.01,2.16,2.56,1.09,2.37,1.01,1.14,,
February,,,0.49,0.33,1.68,0.61,1.67,0.84,1.42,0.53,2.26,0.84,0.75,0.32,1.53,2.72,2.6,0.31,,
March,,,1.28,1.66,1.02,1.73,0.79,1.05,1.19,2.22,0.83,1.38,2.25,1.73,3.17,0.83,1.67,2.18,,
April,,,0.73,1.77,1.02,1.77,0.26,2.2,1.46,1.54,1.76,0.52,0.18,1.5,1.21,0.58,1.57,1.34,,
May,,,2.72,2.11,1.6,1.33,1.06,1.66,0.92,1.06,2.64,0.56,0.9,2.41,0.97,1.3,1.94,0.64,,
June,,,3.67,2.88,0.89,2.91,2.04,1.89,0.48,2.39,1.84,1.95,1.77,0.98,0.9,1.39,2.49,1.37,,
July,,,1.71,4.95,1.51,0.17,0.26,1.87,3.61,2.97,1.75,0.36,1.4,1.64,1.85,2.99,1.08,1.87,,
August,,,2.68,3.68,1.41,1.61,0.31,1.55,1.27,1.92,2.78,0.81,4.74,0.66,0.32,2.27,2.99,4.19,,
September,,,2.07,1.84,1.09,1.52,1.36,0.36,1.32,2.06,0.7,1.45,2.47,0.76,1,2.33,0.49,0.93,,
October,,,1.63,3.86,0.83,1.49,2.77,2.48,1.06,3.67,1.15,2.9,1.44,2.89,1.93,1.72,2.23,3.49,,
November,,,1.19,1.9,0.91,2.19,2.69,1.74,0.95,0.72,2.85,3.6,1.49,2.31,1.71,1.11,2.71,1.5,,
December,,,1.16,0.89,1.92,0.74,1.44,2.08,1.76,4.09,3.44,3.86,1.77,0.58,4.48,4.93,2.69,1.13,,
Total,,,19.89,27.8,16,16.78,17.19,18.61,16.3,23.93,23.04,19.24,21.32,18.34,20.16,24.54,23.47,20.09,,
