COCKERMOUTH (UNCERTAIN),,,,,,,,,,,,,,,,,,,,
Grid ref,NY123306,Long,-3.3607,Lat,54.6633,Elevation,127,ft,,,,,,,,,,,,
Station no,RR2221,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,3.19,4.15,1.49,3.8,7.18,4.14,,,,,,,,,
February,,,,,,1.05,2.45,1.62,9.73,1.85,6.53,,,,,,,,,
March,,,,,,3.89,5.11,0.53,3.8,1.47,1.33,,,,,,,,,
April,,,,,,2.33,2.63,1.94,1,1.91,2.46,,,,,,,,,
May,,,,,,1.97,1.68,3.5,0.71,2.34,2.08,,,,,,,,,
June,,,,,,3.09,3.84,3.12,4.36,1.41,4.17,,,,,,,,,
July,,,,,,2.6,10.19,1.17,4.1,3.91,6.18,,,,,,,,,
August,,,,,,8.72,4.65,4.76,7.31,3.85,4.92,,,,,,,,,
September,,,,,,3.83,2.1,4.57,2.51,2.33,2.07,,,,,,,,,
October,,,,,,6.59,8.94,5.47,4.44,5.43,3.69,,,,,,,,,
November,,,,,,3.1,4.08,8.1,4.8,4.83,7.44,,,,,,,,,
December,,,,,,6.57,2.59,6.28,5.81,1.88,2.73,,,,,,,,,
Total,,,,,,46.93,52.41,42.55,52.37,38.39,47.74,,,40.19,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR taken at All Saint's Church, about the right elevation as on record.",,,,,,,,,,,,,,,,,,,,
