NORTHAM-WINDMILL-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS453290,Long,-4.2077,Lat,51.04,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1866/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.92,3.36,3.21,4.27,5.86,2.93,3.58,3.97,4.38,7.09,1.73,1.03,4.59,3.85,0.99,2.02,4.37,4.31,2.83,3.31,4.46,
February,,,,,,,,,1.77,3.59,3.68,0.29,2.84,0.71,3.57,3.38,0.59,1.84,1.53,5.21,4.39,1.39,1.71,4.13,3.55,0.51,5.23,4.25,0.4,
March,,,,,,,,,1.55,2.31,3.4,2.37,1.2,0.26,1.28,0.82,6.48,1.42,1.89,1.49,3.74,2.69,1.24,3.14,1.07,0.95,2.94,0.88,3.03,
April,,,,,,,,,1.58,3.29,0.92,2,0.9,2.75,1.03,2.17,2.68,2.01,2.46,2.2,2.96,3.45,2.09,0.6,1.64,2.21,0.19,0.99,2.64,
May,,,,,,,,,0.98,1.09,2.05,4.91,3.43,1.13,4.01,3.95,2.55,1.94,2.56,1.57,2.75,2.9,3.23,2.87,3.43,0.81,2.69,2.94,1.18,
June,,,,,,,,,1.39,0.76,1.11,0.37,1.62,2.43,2.56,3.35,3.98,1.74,0.3,1.45,0.9,1.51,1.2,2.74,3.29,1.73,1.88,3.25,0.98,
July,,,,,,,,2.78,4.62,4.9,1.56,2.29,2.06,1.63,4.33,2.95,2.65,1.84,2.41,3.52,2.53,1.19,5.26,3.75,1.41,5,2.99,2.02,2.62,
August,,,,,,,,7.42,3.58,0.22,4.6,2.78,3.02,2.98,1.97,5.32,0.39,4.02,1.85,6.3,3.97,5.88,3.33,2.74,0.1,3.73,3.12,4.24,1.73,
September,,,,,,,,1.27,0.66,2.26,0.42,3.53,7.22,3.31,1.99,4.59,1.62,2,2,5.74,2.6,3.75,4.31,3.63,1.38,5.67,4.57,5.45,0.31,
October,,,,,,,,5.71,3.03,3.03,2.46,2.74,3.52,5.1,4.3,1.49,1.54,4.15,7.68,1.53,1.68,4.63,2.22,4.23,2.9,2.45,4.15,3.91,4.8,
November,,,,,,,,6.04,7.05,7.49,2.16,1.15,3.09,6.84,0.78,5.9,3.15,2.01,4.68,6.96,4.99,4.48,2.64,7.39,2.69,1.57,2.14,3.64,8.52,
December,,,,,,,,3.61,2.56,3.51,3.52,4.88,2.44,3.41,6.17,4.67,3.37,5.58,2.88,3.89,3.84,4.75,1.19,3.51,6.28,4.23,2,4.15,7.57,
Total,,,,,,,,,33.69,35.81,29.09,31.58,37.2,33.48,35.57,42.56,33.38,35.64,31.97,40.89,38.94,40.47,29.41,40.75,32.11,33.17,34.73,39.03,38.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moved from Stn No 1207/5 GIRTON LANGTON CLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lived at No 18 Windmill Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Terminated Observer died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
