"ASHBOURNE WATER WORKS",,,,,,,,,,,,
Grid ref,SK187459,Long,-1.722747,Lat,53.010086,,,,,,,
Station no,RR2862,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.05,2.80,1.76,2.93,3.19,1.52,5.83,1.52,2.02,1.82,,
February,4.46,1.78,2.08,1.47,4.07,1.12,3.74,2.93,2.42,0.72,,
March,0.73,2.88,2.32,4.71,2.03,4.42,2.84,2.04,3.16,4.31,,
April,1.75,2.25,2.32,2.16,2.05,2.61,1.37,2.04,3.05,2.06,,
May,1.81,0.98,2.72,1.94,2.12,0.55,2.70,3.95,3.71,1.88,,
June,3.73,2.34,2.46,1.02,0.57,2.67,1.50,5.03,2.81,3.02,,
July,3.93,3.19,2.38,3.89,1.84,2.69,0.62,2.73,3.45,4.30,,
August,4.41,2.48,3.89,5.37,4.69,4.66,2.59,3.90,3.81,3.24,,
September,0.97,1.40,2.04,4.86,2.51,1.99,1.11,0.94,3.18,2.92,,
October,4.02,2.82,4.00,7.37,0.97,2.32,7.16,5.47,1.60,6.03,,
November,3.00,3.56,2.92,2.93,1.93,4.08,3.32,3.73,2.29,0.81,,
December,5.66,6.19,2.72,1.83,2.14,0.85,3.70,3.28,2.89,6.98,,
Total,39.52,32.67,31.61,40.48,28.11,29.48,36.48,37.56,34.39,38.09,,
Calc annual,39.52,32.67,31.61,40.48,28.11,29.48,36.48,37.56,34.39,38.09,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
