ERRAL (FINGASK),,,,,,,,,,,,,,,,,,,,
Grid ref,NO227273,Long,-3.255025,Lat,56.43154,Elevation,550,ft,,,,,,,,,,,,
Station no,5573/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.05,1.31,0.48,1.97,,,,,,,
February,,,,,,,,,,3.3,2.99,4.6,2.8,,,,,,,
March,,,,,,,,,,2.97,2.14,2.18,3.31,,,,,,,
April,,,,,,,,,,1.6,2.24,3.4,4.15,,,,,,,
May,,,,,,,,,,2.12,0.82,2.36,,,,,,,,
June,,,,,,,,,,3.96,1.3,2.17,2.87,,,,,,,
July,,,,,,,,,,2.38,4.63,2.81,,,,,,,,
August,,,,,,,,,,6.25,0.74,4.73,,,,,,,,
September,,,,,,,,,,2.41,2.73,3.42,,,,,,,,
October,,,,,,,,,,1.11,1.2,4.21,,,,,,,,
November,,,,,,,,,,1.33,2.82,3.74,,,,,,,,
December,,,,,,,,,,0.9,2.47,1.77,,,,,,,,
Total,,,,,,,,,,30.38,25.39,35.87,,,,,,,,
