"ROBERTON (CRAIK)",,,,,,,,,,,,
Grid ref,NT345084,Long,-3.034887,Lat,55.365211,,,,,,,
Station no,5042/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,9.53,5.64,3.85,6.50,,
February,,,,,,,4.75,5.31,1.65,6.73,,
March,,,,,,,3.90,1.84,3.26,2.10,,
April,,,,,,,2.60,4.02,3.95,5.02,,
May,,,,,,2.89,1.94,3.98,2.57,2.59,,
June,,,,,,2.90,1.56,3.74,3.19,3.11,,
July,,,,,,6.08,5.74,5.91,4.83,3.93,,
August,,,,,,9.52,5.17,4.87,1.22,5.26,,
September,,,,,,4.37,3.65,4.58,1.20,3.39,,
October,,,,,,3.52,6.75,4.28,5.48,3.48,,
November,,,,,,1.80,2.19,1.29,10.14,8.13,,
December,,,,,,7.58,5.94,5.29,8.12,5.84,,
Total,,,,,,,53.72,50.75,49.46,56.08,,
Calc annual,0.00,0.00,0.00,0.00,0.00,38.66,53.72,50.75,49.46,56.08,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
