COLYTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SY244939,Long,-3.07194,Lat,50.74023,Elevation,100,ft,,,,,,,,,,,,
Station no,RR8747,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,2.6,6.5,1.65,2,1.93,,,,,,,
February,,,,,,,,,1.4,7.03,5,7.07,2.8,,,,,,,
March,,,,,,,,,2.2,0.37,1.47,4,1.08,,,,,,,
April,,,,,,,,,5.5,3.8,2.9,1.68,5.45,,,,,,,
May,,,,,,,,,6,2.4,0.77,1.27,1.7,,,,,,,
June,,,,,,,,,2.7,9.16,1.63,4,5.21,,,,,,,
July,,,,,,,,,1.3,4.32,3.06,2.5,4.3,,,,,,,
August,,,,,,,,,3.8,7.8,0.44,5,2.2,,,,,,,
September,,,,,,,,,2.2,3.7,4.12,1.57,3.12,,,,,,,
October,,,,,,,,,4.6,1.3,5.26,2.2,8.4,,,,,,,
November,,,,,,,,,3,0.2,3.84,6.06,4.74,,,,,,,
December,,,,,,,,,2.5,0.2,4.15,3.48,4.75,,,,,,,
Total,,,,,,,,,37.8,46.78,34.29,40.83,45.68,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer lived at St Andrews Square However elevation only 50ft and church SW not NE,,,,,,,,,,,,,,,,,,,,
Distance to church and elevation match with a park just south of Queens St Maybe he worked nearby,,,,,,,,,,,,,,,,,,,,
Park was largely flat,,,,,,,,,,,,,,,,,,,,
