DORKING-WOODLANDS-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ184466,Long,-0.30650921,Lat,51.206348,Elevation,275,ft.,,,,,,,,,,,,
Station no,111/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.52,1.18,6.2,6.26,4.02,6.2,2.72,2.77,,,,,,,,,
February,,,,0.25,4.67,2.11,5.24,0.72,1.82,2.98,3.51,,,,,,,,,
March,,,,2.77,0.45,1.93,3.71,0.38,1.5,3.59,3.43,,,,,,,,,
April,,,,3.48,3.7,1.89,3.18,0.16,2.94,1.79,1.66,,,,,,,,,
May,,,,0.62,1.8,0.41,2.49,1.72,1.61,1.29,1.86,,,,,,,,,
June,,,,1.13,3.95,3.21,2.22,0.87,2.03,0.23,2.8,,,,,,,,,
July,,,1.94,2.75,0.9,3.11,1.41,2.64,3.22,2.67,2.31,,,,,,,,,
August,,,1.04,2.31,4.54,0.52,1.02,1.6,3.09,0.11,4.21,,,,,,,,,
September,,,2.31,2.17,4.74,2.98,2.21,2.57,1.82,1.58,0.25,,,,,,,,,
October,,,2.99,2.36,4.4,2.11,3.06,3.9,7.39,3.61,1.06,,,,,,,,,
November,,,1.05,3.24,6.85,5.13,2.24,4.9,6.39,8.36,3.68,,,,,,,,,
December,,,0.49,8.37,4.6,3.92,4.65,4.43,2.03,1.86,2.93,,,,,,,,,
Total,,,,31.97,41.78,33.52,37.69,27.91,40.04,30.79,30.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Woodlands Park. Stated altitude varies, originally 300 ft. and OK but later 200 ft, and too low or the gauge is 300m N to match this altitude. OS figure used.",,,,,,,,,,,,,,,,,,,,
