"BIRMINGHAM WINSON GREEN - 5"" gauge, full record",,,,,,,,,,
Grid ref,SP043884,Long,-1.9380961,Lat,52.493494,Elevation,470,ft,,
Station no,RR4689,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,3.03,1.98,,,,
February,,,,,1.58,3.4,,,,
March,,,,,2.74,1.02,,,,
April,,,,,1.62,2.99,,,,
May,,,,,1.06,2.6,,,,
June,,,,,2.29,3.97,,,,
July,,,,,2.69,0.51,,,,
August,,,,,1.74,3.31,,,,
September,,,,,1.2,1.94,,,,
October,,,,,1.44,4.61,,,,
November,,,,,1.61,3.42,,,,
December,,,,,2.47,0.57,,,,
Total,,,,,23.47,30.32,,,,
