DRAPERSTOWN (ARDMUIR),,,,,,,,,,,,
Grid ref,IH779947,Long,-6.789502,Lat,54.794288,,,,,,,
Station no,6239/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.85,6.49,1.54,4.84,5.06,5.12,6.89,5.15,3.02,4.85,,
February,4.06,2.45,1.87,6.63,3.81,2.06,4.52,5.46,1.19,6.05,,
March,3.59,2.23,0.96,4.42,1.59,2.52,3.56,2.68,4.40,2.96,,
April,2.24,1.62,2.26,0.98,3.42,1.68,1.28,1.70,3.84,4.35,,
May,2.82,1.41,3.67,7.84,2.78,1.48,2.00,2.40,1.32,2.75,,
June,2.45,2.15,1.83,3.29,5.32,3.11,2.48,6.02,2.08,2.82,,
July,3.14,1.29,4.84,3.79,1.10,4.26,6.26,5.21,3.64,5.42,,
August,4.35,6.09,3.36,2.57,0.73,6.12,4.41,4.39,1.91,3.00,,
September,4.13,2.46,4.21,5.64,4.42,5.04,5.98,6.28,1.59,2.77,,
October,1.68,7.49,2.41,6.85,4.06,3.28,4.11,4.02,5.39,6.86,,
November,8.25,3.30,4.14,7.19,3.45,3.58,2.08,2.22,5.95,4.67,,
December,7.10,5.92,4.08,7.12,7.40,6.82,7.17,6.71,8.82,4.63,,
Total,48.66,42.90,35.17,61.16,43.14,45.07,50.74,52.24,43.15,51.13,,
Calc annual,48.66,42.90,35.17,61.16,43.14,45.07,50.74,52.24,43.15,51.13,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
