DRAPERSTOWN (ARD MUIRI),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6239/7,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,,,,,3.24,,
February,,,,,,,,,,4.82,,
March,,,,,,,,,,2.01,,
April,,,,,,,,,3.60,5.57,,
May,,,,,,,,,2.79,1.34,,
June,,,,,,,,,1.49,2.21,,
July,,,,,,,,,2.51,6.60,,
August,,,,,,,,,3.07,6.82,,
September,,,,,,,,,3.31,9.06,,
October,,,,,,,,,6.00,4.81,,
November,,,,,,,,,5.02,4.21,,
December,,,,,,,,,7.10,4.26,,
Total,,,,,,,,,,54.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.89,54.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
