WOLVERTON-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP813409,Long,-0.8155686,Lat,52.060524,Elevation,263,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.95,3.33,3.05,0.6,2.48,1.06,1.43,3.07,3.44,2.2,2.22,2.37,1.11,2.27,1.14,2.96,2.04,3.52,1.18,2.77,2.16,1.25,1.47,1.37,0.63,4.05,3.53,2.17,4.99,2.24,2.94,2.41,3.9,1.91,1.44,1.44,,2.94,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.61,1.79,0.87,1.71,2.63,4.27,1.09,1.16,2.56,0.55,0.38,2.27,3.4,0.32,2.46,2.36,3.15,1.77,0.55,0.63,1.89,0.19,2,0.35,1.98,1.84,3.53,0.87,0.83,2,1.88,1.27,1.01,1.23,1.45,2.27,1.27,0.8,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.64,2.93,2.21,3.31,1.09,5.68,1.39,0.5,3.98,1.56,0.9,1.28,1.77,0.81,0.59,0.25,2.39,1.04,0.05,1.35,0.09,1.27,2.26,1.68,0.31,1.33,3.85,0.15,1.9,2.46,2.85,1.62,0.58,0.22,0.75,1.42,4.14,0.81,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.13,0.06,2.3,0.86,0.75,1.15,1.27,3.69,2.02,3.21,1.02,3.95,1.88,3.17,1.25,2.49,1.32,1.14,1.34,1.61,3.65,2.57,0.72,1.09,3.48,1.4,2.7,0.07,2.72,2.8,1.19,0.86,0.44,1.8,0.77,1.15,2.23,1.01,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2.62,1.82,1.4,0.83,2.09,1.75,2.22,1.83,0.56,1.64,0.97,0.81,1.32,3.38,1.47,2.41,1.15,1.23,1.3,2.05,2.88,3.93,1.64,0.51,1.63,1.13,3.78,1.73,1.46,1.75,1.8,3.35,1.52,1.11,1.95,2.11,1.76,4.66,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.3,2.73,0.53,2.38,1.05,1.99,1.78,0.36,0.73,3.84,0.33,0.76,0.3,2.71,0,3.05,3.62,2.05,0.61,1.34,1.79,1.04,2.04,0.88,2.46,3.16,1.35,1.15,2.41,0.54,1.46,0.15,1.92,1.73,1.98,2.57,1.03,2,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.28,1.81,0.85,1.22,5.55,2.64,2.44,3.34,2.42,2.52,0.62,3.87,2.52,2.67,3.66,1.74,1.76,1.69,1.31,2.1,2.75,2.94,0.78,2.28,0.47,4.64,0.91,1.22,3.44,3.14,3.77,1.79,0.41,2.13,1.65,1.69,2.03,1.74,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.66,,0.56,1.45,1.74,2.23,5.3,0.89,2.1,1.56,1.34,3.97,2.48,2.1,0.99,1.08,2.36,1.76,,1.79,3.04,2.71,0.8,1.2,2.54,0.25,0.88,5.37,3.4,0.02,3.63,2.43,2.24,3,,3.17,0.14,4.62,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.38,1.39,2.25,1.14,2.17,0.69,1.63,4.91,1.64,1.72,1.49,2.24,2.76,3.38,2.37,1.81,5.06,0.48,0.14,3.47,2.49,2.7,2.06,2.05,3.75,3.2,1.28,1.8,0.51,0.9,0.29,0.7,1.42,1.99,,3.66,1.09,2.64,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.04,2.52,4.33,3.87,1.54,2.85,3.6,1.1,1.56,1.28,1.17,0.74,2.84,3.4,3.47,2.15,1.42,2.93,3.1,0.89,0.52,2.52,1.48,1.16,3.04,1.34,3.34,2.74,6.98,2.22,1.61,2.32,2.42,3.28,3.76,1.54,0.35,2.71,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,2.56,1.3,1.99,2.25,2.22,3.69,0.95,1.96,1.25,1.16,1.77,1.04,1.28,2.87,1.49,3.92,2.53,2.4,5.7,3.28,2.71,1.36,1.5,2.37,3.81,2.5,2.15,2.58,3.8,6.44,2.42,2.29,1.05,3.35,0.66,5.79,1.38,1.04,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,4.42,2.98,0.76,4.75,3.93,2.63,0.67,2.6,3.99,1.72,1.5,2.23,2.78,3.47,2.12,0.4,2.51,2.68,4.6,2.15,0.99,0.54,0.31,4.8,2.44,1.5,1.97,2.72,1.88,1.27,1.08,2.56,1.51,1.4,2.8,1.93,2.55,2.4,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,20.59,,21.1,24.37,27.24,30.63,23.77,25.41,26.25,22.96,13.71,25.53,24.44,30.55,21.01,24.62,29.31,22.69,,23.43,24.96,23.02,17.06,19.74,26.54,26.34,29.27,22.57,34.32,25.78,24.92,21.75,18.42,23.15,,28.74,,27.37,18.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1929 Aug - Gauge probably interfered with, surr stns value used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 May IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Aug Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
