VENTNOR-NEWPORT-ROAD-(FERN-BANK),,,,,,,,,,,,,,,,,,
Grid ref,SZ578783,Long,-1.1839,Lat,50.602,Elevation,250,ft,,,,,,,,,,
Station no,593,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.21,7.02,4.29,2.86,5.79,1.6,4.54,2.5,2.87,,,,,,,,
February,,0.41,5.21,2.56,4.03,2.16,1.46,1.35,2.45,0.05,,,,,,,,
March,,1.75,0.43,0.44,3.48,2.38,0.23,1.39,1.22,1.23,,,,,,,,
April,,2.53,3.02,3.42,2.09,1.93,0.96,2.66,3.03,2.62,,,,,,,,
May,,3.39,3.43,1.97,0.62,2.05,2.54,1.98,4.22,4.46,,,,,,,,
June,,1.72,0,3.07,2.56,2.32,1.88,0.7,1.82,1.88,,,,,,,,
July,0.96,2.53,3.59,1.89,4.05,3.05,1.55,1.71,3.17,3.27,,,,,,,,
August,2.43,3.25,4.84,1.49,3.47,2.92,1.87,3.25,3.38,1.45,,,,,,,,
September,2.81,4.92,2.43,0.76,7.1,1.12,0.8,3.24,2.18,3.54,,,,,,,,
October,7.83,6.76,4.51,4.3,2.2,8.83,6.11,4.08,0.93,7.49,,,,,,,,
November,2.08,2.49,4.05,7.89,3.75,4.09,7.06,5.75,4.19,2.68,,,,,,,,
December,4.44,4.8,5.35,0.48,4.17,3.84,6.1,3.76,1,1.58,,,,,,,,
Total,,37.76,43.88,32.56,40.38,40.48,32.16,34.41,30.09,33.12,,,,,,,,
,,,,,,,,,,,,,,,,,,
1923 June 21 Gauge moved 1 mile E to Fern Bank,,,,,,,,,,,,,,,,,,
