"FAKENHAM PENSTHORPE",,,,,,,,,,,,
Grid ref,TF946294,Long,0.886970,Lat,52.826980,,,,,,,
Station no,RR2296,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.36,0.90,1.18,1.58,1.61,0.90,3.64,1.07,,,,
February,3.09,1.25,1.12,0.64,2.96,1.33,2.36,1.18,,,,
March,0.65,2.45,1.17,2.23,1.57,2.50,1.67,0.98,,,,
April,1.50,1.58,0.99,1.81,0.62,1.69,0.59,2.74,,,,
May,1.35,1.14,3.18,2.48,1.77,1.15,2.40,2.51,,,,
June,2.99,1.31,2.17,2.88,0.71,3.17,2.46,2.11,,,,
July,2.44,1.40,1.37,3.75,2.86,1.30,0.47,1.52,,,,
August,5.67,0.86,2.41,3.12,2.14,2.78,1.87,,,,,
September,0.62,1.18,0.93,3.54,2.05,2.25,1.09,,,,,
October,2.67,1.77,1.81,4.75,1.20,2.77,3.90,,,,,
November,2.21,2.25,1.20,1.99,1.11,1.91,4.27,,,,,
December,3.10,3.65,1.40,1.54,1.70,1.20,1.43,,,,,
Total,29.65,19.74,18.93,30.31,20.30,22.95,26.15,,,,,
Calc annual,29.65,19.74,18.93,30.31,20.30,22.95,26.15,12.11,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
