STALBRIDGE-GROVE-COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST732179,Long,-2.38212,Lat,50.96011,Elevation,320,ft,,,,,,,,,,,,
Station no,1628/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.94,6.11,0.72,0.72,3.23,2.54,0.89,1.95,3.24,4.59,2.27,,,
February,,,,,,,,1.63,1.52,5.99,5.85,0.88,1.94,3.58,2.15,0.23,3.93,,,
March,,,,,,,,1.35,1.75,1.37,3.69,3.18,0.71,4.04,1.51,0.97,2.22,,,
April,,,,,,,2.53,1.68,1.76,3.46,3.44,2.03,2.89,0.22,0.8,1.17,0.44,,,
May,,,,,,,2.56,2.8,2.03,1.84,2.98,3.42,2.1,2.23,4.22,0.61,1.54,,,
June,,,,,,,1.48,2.53,0.49,1.68,0.48,2.06,3.09,3.52,2.16,2.95,1.36,,,
July,,,,,,,1.59,1.49,1.41,5.07,2.46,0.88,4.4,3.62,1.41,2.43,,,,
August,,,,,,,0.94,7.42,1.41,4.54,6.17,3.92,2.31,2.7,0.26,4.89,,,,
September,,,,,,,1.66,1.86,4.07,4.68,3.15,4.2,2.74,3.06,1.06,4.22,,,,
October,,,,,,,1.01,3.31,7.56,1.41,0.89,4.12,3.89,2.53,2.62,2.2,,,,
November,,,,,,,1.86,1.95,4.18,6.09,8.99,4.07,1.96,7.7,3.79,1.02,,,,
December,,,,,,,2.94,6.23,2.37,2.93,3.08,3.19,0.92,2.89,4.67,5.23,,,,
Total,,,,,,,,38.36,29.27,39.78,44.41,34.49,27.84,38.04,27.89,30.51,,,,
,,,,,,,,,,,,,,,,,,,,
Grove Cottage 15 Gold St Stalbridge,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar Marked as estimated,,,,,,,,,,,,,,,,,,,,
1948 Readings made at 8am ,,,,,,,,,,,,,,,,,,,,
1957 July Gauge moved 500yds S,,,,,,,,,,,,,,,,,,,,
