STALBRIDGE-GROVE-COTTAGE-(FAIR-VIEW),,,,,,,,,,
Grid ref,ST732175,Long,-2.38276,Lat,50.95663,Elevation,330,ft,,
Station no,1628/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.78,4.75,
February,,,,,,,,2.99,0.34,
March,,,,,,,,0.99,4.19,
April,,,,,,,,0.47,2.87,
May,,,,,,,,2.22,1.11,
June,,,,,,,,3.44,0.84,
July,,,,,,,5.15,1.84,1.35,
August,,,,,,,2.6,2.8,1.21,
September,,,,,,,3.25,4.89,0.19,
October,,,,,,,2.44,2.99,3.74,
November,,,,,,,2.27,2.8,4.5,
December,,,,,,,3.21,4.07,8.25,
Total,,,,,,,,32.28,33.34,
,,,,,,,,,,
Fair View Wood Lane Stalbridge,,,,,,,,,,
1957 July Gauge moved 500yds S from Grove Cottage,,,,,,,,,,
1961 Observer died,,,,,,,,,,
