BRIDGNORTH-QUATT-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO760877,Long,-2.3548614,Lat,52.486684,Elevation,220,ft.,,,,,,,,,,,,,
Station no,2292,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.32,2.48,2.69,2.68,2.74,4.45,1.48,5.42,1.57,,,,,,,,,
February,,,,4.09,0.69,3.51,1.76,2.59,2.34,0.56,0.65,2.2,,,,,,,,,
March,,,,1.31,1.2,0.73,0.4,2.41,2.02,0.11,3.28,0.2,,,,,,,,,
April,,,,1.38,2.46,1.9,1.91,1.46,1.59,0.78,2.4,4,,,,,,,,,
May,,,,0.56,5.3,2.28,4.09,1.41,0.91,2.33,2.42,4.5,,,,,,,,,
June,,,,0.22,1.82,0.06,0.97,4.29,2.45,2.1,0.59,4.32,,,,,,,,,
July,,,,2.08,3.83,2.76,1.64,2.26,1.13,1.49,4.31,4.17,,,,,,,,,
August,,,,1.32,3.34,3.74,1.9,3.71,2.45,2.07,2.6,5.11,,,,,,,,,
September,,,,1.28,2.81,3.56,0.8,4.13,1.18,0.92,3.19,2.14,,,,,,,,,
October,,,,3.18,3.96,3.23,2.58,2.17,4.34,4.07,3.06,0.76,,,,,,,,,
November,,,,0.73,1.82,1.49,5.6,3.66,3.12,6.63,3.31,4.21,,,,,,,,,
December,,,,2.65,3.29,3.4,0.51,2.12,1.96,5.76,3.5,1.28,,,,,,,,,
Total,,,,20.12,33,29.35,24.84,32.95,27.94,28.3,34.73,34.46,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is assumed to be Quatt Farm, which has about the right relationship with the church, but the elevation is higher on the OS maps 270 vs 220 (or sometimes 250).",,,,,,,,,,,,,,,,,,,,,
Cannot find a Quatt House.,,,,,,,,,,,,,,,,,,,,,
