KIRKTON HAWICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT539139,Long,-2.7297,Lat,55.4169,Elevation,759,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,2.4,5.4,2,1.5,5.4,2.3,4.1,3.7,2.7,2.7,5.3,6.6,2.2,5.9,1.1,7.7,4.2,2.2,1.3,1.5,2,6.3,6.6,2.9,4,2.5,,
February,,,1.2,1.4,1.2,1.6,4.7,1.4,3,4.1,3.1,2,3.4,2.2,2.8,1.6,3.6,2.4,1.1,3.4,3.3,2.8,2.4,4.9,4.6,5.5,1.8,0.8,,
March,,,4.8,1.8,4.1,1.2,2.9,3.1,3.2,1,0.8,1.9,3.4,1.5,1.3,1.4,3.7,1.7,0.9,3.7,1.3,2.9,2.5,4.1,3.5,2.2,5.5,2.9,,
April,,,2.7,2,0.7,0.5,2.1,3.1,2.9,1,0.6,3.3,3.2,0.2,2.2,0.8,3.9,3.9,2.2,1.9,2.5,1.2,3.4,1.4,1.8,3.8,2.1,1.3,,
May,,,3.2,0.9,1.3,6.7,1.3,1.7,1.3,3,1.3,0.7,3.9,2,2,1.2,2.2,3.1,3.3,1.3,1.4,1.9,1.2,2.3,2.1,3.2,5.1,1.1,,
June,,,3.8,5.3,1,0.2,1,1.1,1.2,1.3,2.1,3.5,3.2,1.9,0.8,2.5,2.9,2.2,3.3,4.7,1,2.1,4.5,4.2,0.5,0.4,1.7,0.6,,
July,,,2.8,0.7,1,2.5,4.9,5.7,0.5,0.4,2,4.3,5,4.4,2.5,2.5,1.4,5.6,0.9,6,4.3,1.9,3.4,7,6.9,1.6,4.6,3.1,,
August,,,4.5,5.3,1,3.1,3.1,2.2,4,1,1.7,1.7,3.8,5.1,5.6,3,4.3,10,4,3.8,0.8,6.1,2.1,2.8,2.1,2.7,1.2,1.7,,
September,,,1.9,3.6,2.8,0.8,4.3,1.6,4.6,5.2,1.4,2.1,4.5,2.5,3.7,4.1,3.6,2.4,3,2.1,4.7,1.3,2.2,5.2,4.9,3.9,4.1,4.5,,
October,,,6.1,4.2,6.6,5.2,1,2.1,2.1,2,5,2,6.1,4.1,5.8,2.5,2.9,4.4,2.9,1.1,3.3,2,2.7,4.4,1.1,3.3,6.8,1.4,,
November,,,0.8,2.4,3,2.68,3.1,0.1,2.7,1.8,1.9,3.2,6.5,3.6,4.2,4.7,4.4,5.2,4,2.5,5.2,6.3,4.4,3.1,2,2.1,4.4,4.3,,
December,,,3.3,2.6,2.7,2.5,3.5,1.3,7,5.1,2.7,3.6,4.5,1.5,4.5,3,7.4,1.4,3.6,2.5,3.8,3.1,5.7,2.2,3.6,1.7,3.3,2.5,,
Total,,,37.5,35.6,27.4,28.48,37.3,25.7,36.6,29.6,25.3,31,52.8,35.6,37.6,33.2,41.4,50,33.4,35.2,32.9,33.1,36.5,47.9,39.7,33.3,44.6,26.7,,
