FOULRIDGE CRAG NOOK HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD884428,Long,-2.177943,Lat,53.881261,Elevation,690,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.45,4.8,7.33,3.21,7.4,3.21,2.29,2.22,5.35,3.75,3.74,1.13,4.97,2.8,3.26,1.47,5.11,7.19,4.5,3.12,3.9,4.61,3.88,2.15,6.14,,5.35,2.5,6.35,2.37,3.82,3.96,3.34,6.9,5.55,3.35,3.49,4.98
February,,,3.37,2.43,4.07,3.28,0.74,1.18,0.61,3.11,0.73,0.52,2.85,6.53,8.27,0.39,1.95,2.96,4.47,1.69,3.74,1.39,1.23,5.49,5.75,2.53,3.51,,3.73,2.7,4.83,6.09,1.79,2.49,3.19,4.53,5.39,1,7.92,1.81
March,,,5.59,0.96,2.42,2.59,3.55,1.6,3.5,2.91,5.09,2.26,0.65,1.85,4.89,3,6.41,5.57,1.87,2.45,0.4,3.12,2.65,6.46,2.8,3.7,4.44,,3.79,2.71,0.83,3.15,5.46,6.12,5.14,1.73,3.23,2.33,1.51,6.07
April,,,4.16,2.17,1.27,1.87,3.02,1.29,1.99,2.41,1.34,1.7,1.44,0.78,2.39,2.69,2.2,2.32,3.17,3.96,2,2.86,2.49,2.46,3.58,3.02,1.59,,1.55,3.83,2.77,2.87,1.46,4.24,1.56,2.07,3.36,2.14,1.48,2.31
May,,,1.54,1.01,2.1,2.1,5.29,2.13,1.39,2.35,2.2,2.46,4.93,2.21,2.35,0.65,0.3,1.94,2.48,3.43,0.9,1.16,2.77,3.22,2.88,0.83,4.45,,3.53,2.15,2.51,2.44,2.35,2.63,2.22,1.93,2.53,1.76,1.4,2.52
June,,,5.37,3.43,0.45,3.46,2.19,0.19,2.07,0.45,3.66,0.76,3.59,3.31,4.12,3.32,2.12,4.16,3.26,1.2,2.5,1.57,1.28,2.33,1.93,2.4,1.42,,1.98,2.35,3.12,5.02,6.85,2.93,2.25,0.64,2.98,3.08,2.32,1.23
July,,,6.21,3.6,4.09,2.15,4.29,1.93,6.28,4.27,2.56,2.83,1.58,2.98,4.01,6.39,2.17,2.07,0.53,1.72,2.45,0.11,3.39,4.29,1.61,1.75,2.19,,4.74,5.02,4.17,0.41,4.03,1.13,2.72,4.72,2.58,2.55,3.98,1.99
August,,,4.18,3.3,1.63,1.91,2.78,2.79,4.25,6.63,6.1,7.4,6.92,5.61,4.89,4.76,2.6,6.54,5.79,1.65,5.39,3.12,3.06,5.88,4.95,3.82,5.95,,3.58,3.01,5.98,2.91,7.73,1.76,2.83,2.99,2.09,5.8,3.22,3.71
September,,,2.87,7.39,2.34,6.08,4.43,5.48,1.48,2.01,3.22,4.07,4.61,4.22,0.28,2.09,6.23,4.81,1.21,5.96,1.82,1.11,1.08,5.85,0.89,2.68,1.51,,5.07,2.58,0.39,4.2,2.64,1.5,2.96,1.47,2.43,3.36,12.21,3.18
October,,,4.54,6.19,3.35,5.55,4.75,2.43,1.46,4.52,3.79,4.25,7.24,5.61,4.47,4.67,4.34,2.26,3.94,3.14,6.75,3.15,5.26,10.81,2.35,3.36,6.42,,1.48,4.33,3,3.63,5.01,2.03,2.23,1.31,9.76,8.07,4.29,2.89
November,,,7.58,4.68,1.9,3.37,3.95,2.68,7.13,1.75,6.26,4,1.97,3.53,3.36,3.37,1.27,4.57,4.3,2.08,4.06,6.34,2.32,3.48,4.64,3.95,4.97,,3.48,2.03,5.44,4.81,4.36,5.17,6.58,2.46,4.05,4.66,2.71,2.98
December,,,3.61,3.83,7.6,2.24,5.48,3.08,2.53,3.3,0.51,8.54,2.9,4.85,4.53,5.13,4.55,4.86,5.01,3.09,5.55,5.56,4.11,2.8,3.13,2.23,3.82,,2.49,6.12,4.5,6.68,5.76,4.01,6.68,5.52,3.64,2.45,9.84,7.43
Total,,,53.47,43.79,38.55,37.81,47.87,27.99,34.98,35.93,40.81,42.54,42.42,42.61,48.53,39.26,37.4,43.53,41.14,37.56,40.06,32.61,33.54,57.68,38.39,32.42,46.41,,40.77,39.33,43.89,44.58,51.26,37.97,41.7,36.27,47.59,40.55,54.37,41.1
