CROYDON-PARK-HILL-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ331652,Long,-0.089273985,Lat,51.370269,Elevation,265,ft.,,,,,,,,,,,,
Station no,RR8411,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.29,1.66,1.26,2.39,1.39,3.33,3.73,0.74,4.16,1.16,1.11,,
February,,,,,,,,1.65,1.23,0.73,3.98,1.21,1.92,0.94,4.14,5.02,4.97,0.84,,
March,,,,,,,,0.95,2.91,3.36,1.37,1.9,3.72,3.19,4.46,0.67,4.36,,,
April,,,,,,,,3.82,2.52,2.05,2.03,2.1,0.1,3.04,0.95,1.59,1.42,,,
May,,,,,,,,1.92,2.01,1.22,2.14,1.05,1.25,1.31,1.11,3.11,2.34,,,
June,,,,,,,,2.03,2.48,3.26,2.2,2.2,3.03,0.26,1.04,0.57,2.97,,,
July,,,,,,,,0.82,3.45,3.34,2.53,0.45,1.55,1.6,1.91,3.73,0.86,,,
August,,,,,,,,2.33,3.4,1.94,2.82,1.02,5.27,2.26,1.89,2.62,3.09,,,
September,,,,,,,,0.71,1.47,3.19,1.09,1.2,3.18,1.81,0.74,2.23,1.35,,,
October,,,,,,,,3.65,2.54,4.5,3.21,4.07,2.83,4.18,1.46,2.54,3.7,,,
November,,,,,,,,2.76,0.75,1.11,3.38,4.25,2.44,2.9,4.03,2.45,5.76,,,
December,,,,,,,,3.37,2.4,3.36,4.37,6.28,3.28,1.16,8.03,5.76,2.94,,,
Total,,,,,,,,25.3,26.82,29.32,31.51,27.12,31.9,26.38,30.5,34.45,34.92,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Park Hill House. Altitudes match.,,,,,,,,,,,,,,,,,,,,
Stanhope Road on the 1900s record is a later addition because the road did not exist until later; the house was demolished in 1949,,,,,,,,,,,,,,,,,,,,
