"CROYDON PARK HILL HOUSE, STANHOPE ROAD",,,,,,,,,,,,
Grid ref,TQ329651,Long,-0.092183,Lat,51.369417,,,,,,,
Station no,RR8411,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.29,1.66,1.26,,
February,,,,,,,,1.65,1.23,0.73,,
March,,,,,,,,0.95,2.91,3.36,,
April,,,,,,,,3.82,2.52,2.05,,
May,,,,,,,,1.92,2.01,1.22,,
June,,,,,,,,2.03,2.48,3.26,,
July,,,,,,,,0.82,3.45,3.34,,
August,,,,,,,,2.33,3.40,1.94,,
September,,,,,,,,0.71,1.47,3.19,,
October,,,,,,,,3.65,2.54,4.50,,
November,,,,,,,,2.76,0.75,1.11,,
December,,,,,,,,-999.00,2.40,3.36,,
Total,,,,,,,,25.30,26.82,29.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.93,26.82,29.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.37,0.00,0.00,,
