LAMINGTON HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS981309,Long,-3.617182,Lat,55.561095,Elevation,730,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.44,2.25,5.97,1.86,2.21,1.1,2.41,5.67,5.15,1.27,,,1.84,2.05,4.47,2.4,4.53,4.76,3.33,2.78,3.24,4.42,3.03,2.66,4.94,1.51,,,,,,,3.63,4.99,5.51,5.74,10.12,1.07,5.79,3.27,6.61,5.4,5.39,2.27,5.31,7.15,5.92,4.76,1.52,0.96,4.55,4.6,5.16,3.02,3.9,4.37,6.16,4.32,2.47,4.09,3.24,1.49,,,,,,,
February,,,2.6,4.71,9.8,0.68,2.13,3.81,4.05,2.6,3.43,1.01,,,2.57,2.74,2.3,2.55,3.23,2.17,6.38,4.5,2.9,2.8,6.15,6.01,4.9,0.56,,,,,,,1.1,5,3.72,1.81,5.6,1.8,0.46,3.15,0.37,4.64,0.35,4.32,3.31,3.87,1.83,5.41,1.14,4.13,1.71,4.15,1.83,5,2.49,0.74,3.68,3.87,4.02,3.42,0.9,1.32,,,,,,,
March,,,1,1.53,2.88,3.6,3.84,6.66,1.74,3.08,0.52,1.05,,,2.32,5.37,2.2,3.77,5.73,3.74,4.22,2.82,3.98,5.37,4.86,1.45,2.83,,,,,,,,0.54,2.3,3.52,3.04,3.63,0.54,1.71,1.16,3.02,2.91,3.09,1.37,1.62,2.05,2.23,3.9,4.72,3.26,2.15,1.76,0.59,2.78,2.18,2.92,3.52,1.6,4.61,3.05,1.81,,,,,,,,
April,,,1.3,1.1,2.86,2.22,2.44,2.49,4.06,3.54,3.48,2.4,,,3.72,3.11,2.05,2.42,1.3,2.75,3.96,5.08,0.8,4.56,2.88,1.97,2.52,,,,,,,,2.15,5.47,3.04,2.85,1.4,1.42,1.33,2.4,3.88,1.83,4.09,3.62,1.19,1.5,0.45,1.74,2.79,1.54,1.63,2.56,2.13,1.56,1.08,6.21,3.49,3.33,3.7,3.14,2.41,,,,,,,,
May,,,4.05,1.7,4.46,0.62,0.56,2.62,2.41,3.25,0.65,1.47,,,2.43,1.23,4.95,3.36,2.92,2.15,2.21,2.91,1.53,3.03,2.08,1.27,4.21,,,,,,,,4.8,5.36,4.38,1.54,1.73,3.49,1.18,2.62,2.63,3.07,3.52,1.18,1.11,1.86,2.96,0.72,1.22,5.04,2.48,4.13,2.64,,1.08,3.41,1.59,1.75,1.93,2.32,2.08,,,,,,,,
June,,,3.08,2.84,3.11,1.25,3.83,5.53,2.84,1.43,2.73,3.18,,,2.35,1.47,1.58,3.62,1.99,2.51,1.26,3.16,4.85,3,1.06,1.12,2.82,,,,,,,,1.65,0.57,3.33,3.71,5.02,1.74,2.51,5.04,1.33,1.71,2.59,3.56,2.64,2.14,4.63,2.05,1.04,0.92,0.89,3.2,3.59,,2.05,3.27,5.19,1.46,2.86,1.39,2.73,,,,,,,,
July,,,2.15,2.74,3.5,5.78,4.59,2.85,1.32,3.78,2.1,1.75,,,1.95,1.99,2.03,3.2,2.09,4.66,4.47,1.16,2.4,1.07,2.34,3.62,5.47,,,,,,,,4.29,2.63,2.92,1.95,2.93,2.86,4.02,3.85,4.49,4.48,2.32,1.2,4.08,3.92,4.08,3.87,5.93,2.44,2.25,2.17,2.46,,4.2,3.26,2.78,1.53,3.92,2.46,3.38,,,,,,,,
August,,,5.61,4.34,5.9,5.64,2.7,6.35,4.43,1.63,3.85,4.44,,,3.53,3.33,4.43,4.24,2.86,2.16,5.92,1.78,3.72,1.55,2.75,2.68,3.55,,,,,,,,3.75,3.19,2.86,6.21,5.44,5.51,6.4,2.89,0.91,2.22,4.06,1.95,1.73,3.72,2.16,2.62,2.15,4.91,4.16,4.31,3.8,1.71,2.94,0.03,5.84,4.41,4.7,6.76,3.81,,,,,,,,
September,,,3.68,2.71,0.47,0.84,5.01,3.61,3.23,5.08,1.91,2.71,,,2.07,2.18,0.48,0.85,5.21,2.46,0.77,2.34,2.05,2,1.31,1.32,2.32,,,,,,,,4.74,4.24,3.94,6.83,3.02,0.79,3.33,1.18,4.7,1.37,4.14,4.36,2.8,2.04,3.02,1.54,5.26,1.41,3.77,2.64,4.81,6.07,5,3.57,4.86,2.19,8.83,2.91,2.51,,,,,,,,
October,,,4.67,3.99,3.17,4.42,5.18,2.81,4.14,3.37,5.43,4.64,,,0.81,3.2,5.75,9.44,0.6,6.57,1.82,3.39,3.39,2.99,1.89,1.54,4.99,,,,,,,,3.81,4.4,4.22,4.79,5.84,5.89,5.49,3.06,6.36,3.28,6.27,6.32,4.64,4.8,6.89,2.39,3.99,3.49,4.09,6.54,3.58,4.95,0.46,1.45,3.28,5.02,4.23,0.6,4.2,,,,,,,,
November,,,2.81,2.65,3.88,5.85,1.42,3.57,4.87,6.66,3.86,4.84,,,2.34,2.94,4.73,2.97,3.07,1.77,3.91,5.56,3.58,4.22,4.83,1.96,3.42,,,,,,,,1.85,1.66,5.43,3.96,5.06,4.99,5.22,4.67,3.04,2.1,1.87,5.5,3.56,0.77,8.13,7.43,4.45,3.51,1.15,2.12,8.15,0.53,5.69,5.5,3.01,4.91,4.57,6.65,3,,,,,,,,
December,,,1.81,6.1,3.96,5.53,5.25,7.36,5.45,2.96,7.16,3.3,,,1.87,2.5,2.37,4.29,1.74,5.05,4.58,7.6,6.84,3.19,7,4.72,2.06,,,,,,,,5.48,4.14,1.75,2.33,3.52,9.15,2.95,3.86,7.29,0.78,6.5,2.24,4.13,3.57,3.7,1.93,4.32,2.14,5.73,3.34,4.45,3.29,3.81,3,7.25,7.29,1.31,6.78,4.36,,,,,,,,
Total,,,35.2,36.66,49.96,38.29,39.16,48.76,40.95,43.05,40.27,32.06,,,27.8,32.11,37.34,43.11,35.27,40.75,42.83,43.08,39.28,38.2,40.18,30.32,44.03,,,,,,,,37.79,43.95,44.62,44.76,53.31,39.25,40.39,37.15,44.63,33.79,44.19,37.89,36.12,37.39,46,38.36,38.53,33.75,34.56,41.52,43.19,,34.88,37.73,50.65,41.68,47.15,43.57,34.43,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 MJJ + Total deleted too much estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
