ORLINGBURY-RECTORY-FARM,,,,,,,,,,
Grid ref,SP844715,Long,-0.76275,Lat,52.335103,Elevation,388,ft,,
Station no,1122/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.11,2.77,4.08,3.56
February,,,,,,,2.38,2.92,0.08,1.45
March,,,,,,,2.23,1.5,2.76,1.9
April,,,,,,,0.3,0.84,2.33,0.46
May,,,,,,,1.48,2.33,0.41,0.94
June,,,,,,,1.54,6.39,0.46,2.21
July,,,,,,,3.15,2.22,2.02,3.42
August,,,,,,,2.22,1.92,0.63,2.37
September,,,,,,,4.85,2.1,0,3.86
October,,,,,,,1.34,1.82,1.67,5.22
November,,,,,,,1.61,1.77,1.95,3.54
December,,,,,,,2.29,2.07,3.58,3.04
Total,,,,,,,24.5,28.65,19.97,31.97
,,,,,,,,,,
,,,,,,,,,,
