"WORKSOP (SUNNYSIDE WATERWORKS)",,,,,,,,,,,,
Grid ref,SK589806,Long,-1.117287,Lat,53.319061,,,,,,,
Station no,2634/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.84,1.88,0.52,0.96,1.88,3.90,1.29,2.19,2.25,4.63,,
February,3.07,0.26,1.80,2.24,2.17,0.96,1.95,3.71,0.05,2.47,,
March,2.70,1.97,1.17,1.61,2.53,0.74,1.34,1.44,0.95,1.71,,
April,0.89,0.82,2.19,0.26,0.75,2.20,0.25,0.26,2.57,0.85,,
May,3.65,2.14,2.20,2.67,2.71,0.26,1.45,2.51,0.85,1.31,,
June,0.60,2.84,1.42,2.07,2.49,3.95,2.24,4.87,0.82,0.77,,
July,0.65,0.88,1.76,1.82,0.53,2.88,4.22,5.30,0.81,2.83,,
August,4.10,1.09,1.29,4.80,0.34,6.07,3.77,2.56,0.66,3.05,,
September,2.22,1.92,1.09,1.62,0.49,1.69,4.21,1.65,0.00,3.89,,
October,0.82,2.86,2.29,2.78,1.82,1.22,1.12,1.92,1.78,5.62,,
November,5.64,1.34,1.14,4.66,1.85,0.76,2.89,0.62,3.25,3.53,,
December,1.41,1.58,0.95,2.30,2.01,2.86,1.53,3.27,3.27,2.17,,
Total,27.59,19.58,17.82,27.79,19.57,27.49,26.26,30.30,17.26,32.83,,
Calc annual,27.59,19.58,17.82,27.79,19.57,27.49,26.26,30.30,17.26,32.83,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
