AYLSHAM-WILDERNESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG1912627019,Long,1.248807,Lat,52.796207,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1434/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.71,4.08,2.93,4.92,,,,,2.46,2.73,1.92,1.8,4.43,1.26,1.01,3.36,3.02,1.66,2.03,1.42,3.63,,,,
February,,,,,,2.55,2.73,0.85,0.96,,,,,1.53,1.7,4.19,2.72,0.96,0.89,3.14,2.88,1.19,1.89,2.86,2.68,1.98,,,,
March,,,,,,0.51,2.93,0.43,2.43,,,1.84,,0.81,1.74,1.1,4.21,0.72,1.51,0.32,3.15,2.87,1.59,2.63,1.84,0.93,,,,
April,,,,,,1.17,2.72,0.49,2.33,,1,0.71,,1.97,3.21,0.69,2.19,1.24,2.45,2.17,2.29,1.69,2.12,0.58,0.59,,,,,
May,,,,,,1.35,2.47,1.93,1.06,,2.33,2.65,1.98,1.59,2.08,1.82,1.16,2.92,2.21,1.91,1.9,1.16,1.25,1.93,2.93,,,,,
June,,,,,,3.7,1.66,0.99,2.36,,0.54,1.96,1.77,1.45,1.86,2.84,1.45,2.47,0.72,2.06,1.23,0.81,2.86,2.32,2.45,,,,,
July,,,,,,6.13,3.61,1.84,1.67,,1.31,4.14,0.66,2.16,1.46,5.21,2.17,2.29,2.29,4.42,1.92,2.05,2.13,3.58,0.77,,,,,
August,,,,,,1.87,1.44,0.97,1.79,,3.9,1,1.76,1.31,2.77,4.33,0.57,3.56,1.6,2.51,3.22,2.06,2.38,4.45,0.97,,,,,
September,,,,,,2.71,2.84,2.98,1.24,,0.27,2.12,2.3,4.33,1.74,3.67,0.82,1.96,1.72,3.59,2.24,4.31,1.46,2.4,1.81,,,,,
October,,,,,,2.18,1.47,3.21,6.91,,4.03,3.55,1.5,3.69,2.65,1.45,0.27,2.89,3.15,1.12,0.92,2.24,2.98,2.37,4.75,,,,,
November,,,,,,3.27,3.11,1.87,4.74,,2.78,3.03,3.15,5.05,1.16,4.14,1.77,1.12,2.85,4.55,3.66,4.67,1.88,4.21,0.69,,,,,
December,,,,,,1.93,4.29,4.23,2.88,,1.12,2.13,1.42,1.69,3.04,3.1,2,1.71,1.69,3.58,1.58,2.97,1.22,2.17,1.76,,,,,
Total,,,,,,30.08,33.35,22.72,33.29,,,,,28.04,26.14,34.46,21.13,26.27,22.34,30.38,28.35,29.04,23.42,31.53,22.66,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Apr Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
