WINCHELSEA-BUDDEN,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ904175,Long,0.70784686,Lat,50.925531,Elevation,87,ft,,,,,,,,,,,,
Station no,RR6761,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.65,1.22,7.24,1.79,3.74,0.26,1.33,1.41,2.73,3.29,,,,,
February,,,,,0.78,0.68,3.25,2.48,1.98,4.23,3.21,1.96,1.33,4.28,1.98,,,,,
March,,,,,0.72,0.75,3.08,2.54,1.75,0.82,1.18,3.4,1.98,1,1.99,,,,,
April,,,,,2.55,0.96,1.83,2.46,4.2,3.27,2.02,0.58,3.11,1.7,1.94,,,,,
May,,,,,0.51,1.2,1.42,2.21,3.53,2.82,0.15,1.09,1.92,3.09,0.24,,,,,
June,,,,,1.85,2.07,1.47,2.25,1.87,4.18,3.35,3.77,2.21,1.9,1.88,,,,,
July,,,,,0.65,3.12,0.37,2.69,1.82,3.81,3.9,2.52,2.28,2.81,1.78,,,,,
August,,,,,1.58,2.67,3.14,2.21,6,3.51,1.17,4.16,2.38,0.82,1.07,,,,,
September,,,,,3.98,2.93,3.57,1.22,1.78,3.25,3.75,4.01,3.65,3.86,3.81,,,,,
October,,,,,3.43,4.64,1.44,3.87,3.63,1.07,7.88,4.39,6.11,3,2.53,,,,,
November,,,,,1.94,6.09,3.68,7.12,4.43,1.01,4.69,3.55,3.67,5.36,1.08,,,,,
December,,,,,2.77,2.24,6.73,3.2,2.17,1.48,4.5,4.85,3.14,1.82,4.48,,,,,
Total,,,,,,31,31.2,39.49,34.95,33.19,36.06,35.61,33.19,32.37,26.07,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1874 Jan estimated,,,,,,,,,,,,,,,,,,,,
