"SPILSBY HAGNABY PRIORY",,,,,,,,,,,,
Grid ref,TF346625,Long,0.010891,Lat,53.142652,,,,,,,
Station no,RR3023,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.75,1.05,0.77,1.90,1.79,0.77,3.35,1.32,1.72,1.46,,
February,5.30,1.96,1.43,0.47,3.14,0.98,2.51,1.65,1.84,0.67,,
March,0.39,1.71,1.56,3.51,2.19,1.86,2.64,1.79,2.12,3.71,,
April,1.40,1.26,1.75,1.71,0.87,2.36,0.85,2.36,2.76,1.87,,
May,1.57,1.65,3.31,2.20,1.89,0.84,2.43,3.44,2.37,1.22,,
June,2.42,1.87,3.32,1.33,0.48,2.10,1.60,2.64,1.81,5.39,,
July,1.24,1.64,1.73,2.39,3.77,1.27,0.34,2.10,3.50,4.52,,
August,5.14,2.29,4.08,4.34,3.14,2.05,2.49,1.92,3.59,3.65,,
September,1.03,1.76,1.28,4.04,2.63,2.63,1.20,0.70,1.82,1.28,,
October,2.45,2.55,2.89,6.47,0.96,2.44,5.10,5.91,1.08,3.98,,
November,2.51,2.04,1.52,1.88,1.34,2.49,3.81,2.12,1.19,0.77,,
December,4.26,5.63,2.29,1.60,2.23,0.83,2.45,3.34,2.00,4.74,,
Total,31.46,25.41,25.93,31.84,24.43,20.62,28.77,29.29,25.80,33.26,,
Calc annual,31.46,25.41,25.93,31.84,24.43,20.62,28.77,29.29,25.80,33.26,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
