SPILSBY - HAGNABY PRIORY,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF346625,Long,0.011,Lat,53.143,Elevation,47,ft,,,,,,,,,,,,,,,,,,
Station no,RR3023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918
January,,2.27,3.91,1.24,1.84,1.27,2.45,3.75,1.05,0.77,1.90,1.79,0.77,3.35,1.32,1.72,1.46,2.26,2.12,3.27,3.43,1.87,3.11,1.17,3.62,2.53
February,,1.57,0.75,0.72,3.80,1.00,1.42,5.30,1.96,1.43,0.47,3.14,0.98,2.51,1.65,1.84,0.67,2.74,1.58,1.64,0.81,1.01,2.85,4.41,1.48,1.73
March,,0.54,2.20,2.83,2.20,2.12,1.37,0.39,1.71,1.56,3.51,2.19,1.86,2.64,1.79,2.12,3.71,0.64,2.80,2.25,2.53,2.88,1.66,4.97,1.76,0.84
April,,1.70,1.48,1.04,1.56,1.73,2.46,1.40,1.26,1.75,1.71,0.87,2.36,0.85,2.36,2.76,1.87,2.77,1.80,0.32,2.23,1.20,0.55,2.27,2.76,1.94
May,,1.75,1.05,0.50,1.60,3.07,3.22,1.57,1.65,3.31,2.20,1.89,0.84,2.43,3.44,2.37,1.22,2.57,1.12,2.49,2.12,1.65,1.50,2.20,2.17,2.32
June,1.91,3.13,1.02,1.70,1.49,1.52,1.81,2.42,1.87,3.32,1.33,0.48,2.10,1.60,2.64,1.81,5.39,1.38,4.17,3.47,0.94,2.33,0.43,3.43,1.82,1.17
July,2.39,3.14,3.78,1.61,1.32,0.67,1.58,1.24,1.64,1.73,2.39,3.77,1.27,0.34,2.10,3.50,4.52,2.47,0.27,4.30,0.78,1.73,5.31,2.41,1.37,2.73
August,1.13,2.82,3.83,0.70,3.00,3.95,0.51,5.14,2.29,4.08,4.34,3.14,2.05,2.49,1.92,3.59,3.65,3.36,2.86,6.58,0.82,1.01,4.42,2.36,6.63,2.03
September,1.15,0.67,0.50,6.29,2.88,0.29,2.76,1.03,1.76,1.28,4.04,2.63,2.63,1.20,0.70,1.82,1.28,0.78,2.55,1.87,2.13,1.06,0.61,1.71,1.29,4.35
October,2.21,3.97,2.70,5.01,0.78,3.11,3.33,2.45,2.55,2.89,6.47,0.96,2.44,5.10,5.91,1.08,3.98,2.01,2.84,2.15,3.67,2.33,2.20,2.66,3.41,1.91
November,3.05,2.52,2.95,1.26,2.11,1.72,1.18,2.51,2.04,1.52,1.88,1.34,2.49,3.81,2.12,1.19,0.77,3.74,3.24,3.17,2.23,3.04,3.46,3.84,2.04,1.96
December,2.01,1.92,2.23,4.80,1.78,2.15,1.93,4.26,5.63,2.29,1.60,2.23,0.83,2.45,3.34,2.00,4.74,4.04,4.19,3.74,0.78,5.59,5.58,3.43,1.87,3.19
Total,,26.00,26.40,27.70,24.36,22.60,24.02,31.46,25.41,25.93,31.84,24.43,20.62,28.77,29.29,25.80,33.26,28.76,29.54,35.25,22.47,25.70,31.68,34.86,30.22,26.70
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/157,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/101,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/057,,,,,,,,,,,,,,,,,,,,,,,,,,
