"EAST GRINSTEAD (STANDEN)",,,,,,,,,,,,
Grid ref,TQ390355,Long,-0.016083,Lat,51.101959,,,,,,,
Station no,574/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.16,2.98,1.11,1.49,3.42,4.63,2.72,3.12,2.65,3.57,,
February,7.62,1.14,1.66,2.49,2.27,0.52,5.42,2.66,0.05,2.76,,
March,3.95,3.64,0.16,3.43,1.22,0.86,1.40,1.98,2.15,1.87,,
April,2.66,1.90,3.20,0.32,0.29,1.50,0.14,1.46,2.62,0.83,,
May,2.51,1.99,1.56,1.84,4.58,0.39,1.37,2.43,0.46,1.51,,
June,1.93,1.16,1.85,4.14,2.00,2.42,1.04,4.17,1.12,1.56,,
July,2.45,0.87,3.97,2.72,0.81,3.09,2.70,1.87,1.94,3.75,,
August,5.76,3.60,2.27,2.92,0.83,3.00,2.62,4.63,0.81,4.31,,
September,3.48,2.97,4.61,2.13,2.61,3.17,3.07,6.06,0.08,2.53,,
October,1.57,3.39,4.46,2.16,4.23,1.34,1.45,2.62,3.19,7.59,,
November,6.44,4.52,1.53,6.10,1.53,1.03,3.69,1.88,2.95,6.25,,
December,3.13,2.67,0.85,2.16,3.45,4.36,2.75,4.86,-999.00,3.69,,
Total,44.66,30.83,27.23,31.90,27.24,26.31,28.37,37.74,25.46,40.22,,
Calc annual,44.66,30.83,27.23,31.90,27.24,26.31,28.37,37.74,18.02,40.22,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,7.44,0.00,,
