SLAIDBURN-STOCKS-NO-9,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD717549,Long,-2.4331022,Lat,53.989364,Elevation,658,ft.,,,,,,,,,,,,,
Station no,3083/3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,16.04,2.69,8.43,7.11,7.43,3.96,6.18,2.89,5.78,4.66,,,
February,,,,,,,,,7.91,1.33,0.67,6.68,0.17,6.22,0.45,10.56,2.31,9.97,,,
March,,,,,,,,,4.51,1.48,3.84,0.65,3.76,3.04,3.29,1.96,3.31,2.2,,,
April,,,,,,,,,1.57,1.88,3.15,4.5,5.41,2.03,2.62,4.16,1.11,3.54,,,
May,,,,,,,,,0.7,3.03,1.93,2.41,4.69,2.45,3.95,1.43,1.29,2.84,,,
June,,,,,,,,,9.03,2.1,3.16,7.04,1.62,2.85,2.76,4.65,3.53,2.69,,,
July,,,,,,,,,3.77,5.88,5.01,5.37,5.9,5.93,2.88,3.85,5.49,2.8,,,
August,,,,,,,,,7.45,7.39,8.7,4.74,1.67,2.94,6.27,1.94,3.6,3.01,,,
September,,,,,,,,,1.59,2.58,3.57,2.82,7.79,1.72,5.84,12.35,6.79,2.86,,,
October,,,,,,,,,8.79,8.97,9.6,3.64,9.73,5.6,9.5,14.85,7.13,2.82,,,
November,,,,,,,,,10.3,10.1,7.16,8.98,4.89,2.87,1.57,6.26,8.04,1.66,,,
December,,,,,,,,,5.06,11.84,5.72,4.38,3.41,0.65,9.04,4.82,7.87,3.02,,,
Total,,,,,,,,,76.72,59.27,60.94,58.32,56.47,40.26,54.35,69.72,56.25,42.07,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is the only location near other gauges at the stated altitude, but gauge could be 500m or so W on Sagar Hill",,,,,,,,,,,,,,,,,,,,,
