"SLAIDBURN (STOCKS 21 B)",,,,,,,,,,,,
Grid ref,SD717548,Long,-2.433093,Lat,53.988465,,,,,,,
Station no,3083/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.37,5.61,7.32,5.90,4.79,7.08,,
February,,,,,2.20,1.39,4.83,8.99,1.02,4.99,,
March,,,,,1.85,2.10,5.00,1.79,3.12,1.79,,
April,,,,1.70,3.08,2.31,0.74,2.02,3.41,4.17,,
May,,,,3.90,4.89,2.61,3.12,6.23,1.57,2.12,,
June,,,,4.26,3.52,3.06,2.07,3.94,4.65,2.07,,
July,,,,8.64,1.52,5.72,5.85,4.20,3.71,8.92,,
August,,,,6.72,0.97,11.76,6.18,6.07,0.51,4.43,,
September,,,,9.48,4.02,3.66,7.17,6.12,0.59,3.83,,
October,,,,12.97,3.77,3.83,7.78,5.18,6.96,4.37,,
November,,,,10.24,2.88,2.60,2.44,2.03,6.62,10.61,,
December,,,,11.32,8.51,6.37,7.42,5.45,11.88,7.74,,
Total,,,,,41.58,51.02,59.92,57.92,48.83,62.12,,
Calc annual,0.00,0.00,0.00,69.23,41.58,51.02,59.92,57.92,48.83,62.12,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
