SLAIDBURN-STOCKS-NO-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD715549,Long,-2.4361523,Lat,53.989353,Elevation,629,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3083/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.71,4.75,9.15,7.58,3.02,1.55,7.92,9.55,10.42,5.99,7.86,5.81,12.1,4.37,5.37,6.76,6.93,2.68,5.73,4.42,5.87,7.53,6.06,4.84,7.04
February,,,,,,2.31,10.34,3.44,6.06,2.15,7.03,2.65,4.33,4.14,8.41,7.37,1.63,4.58,5.19,8.79,4.88,2.93,2.83,4.54,2.12,1.45,4.98,9.03,1.04,4.64
March,,,,,,3.34,2.14,2.03,3.14,5.4,4.1,4.02,2.59,0.98,3.62,1.47,7.64,3.6,2.77,3.71,6.14,3.88,1.75,3.62,1.96,2.3,5.36,1.93,3.22,1.69
April,,,,,,1.08,3.64,1.26,2.83,4.26,2.58,2.88,4.36,3.32,3.96,1.8,4.8,3.29,7.52,5.35,3.66,3.81,3.83,1.74,2.96,2.31,0.8,2.02,3.56,3.87
May,,,,,,1.24,2.86,3.89,0.98,1.35,4.47,4.89,4.66,4.82,4.74,1.84,3.23,2.91,3.46,2.53,2.38,3.07,3.31,3.87,4.88,2.87,3.27,6.47,1.66,2.16
June,,,,,,3.38,2.76,6.41,4.2,0.92,0.52,2.47,5.82,4.44,5.74,4.18,4.47,7.98,1.04,5,1.98,4.54,3.18,4.52,3.68,3.21,2.21,4.11,4.63,2.08
July,,,,,,5.22,2.75,5.42,7.28,5.54,2.02,6.63,5.5,4.64,4.62,5.55,3.61,2.99,3.97,5.76,3.82,2.94,9.17,8.29,1.56,6.05,6.03,4.33,3.7,9.01
August,,,,,,3.57,2.95,5.37,2.16,2.66,10.15,7.02,9.01,3.5,3,10.2,0.24,5.79,3.66,9.8,4.79,9.36,7.47,6.82,1.01,12.68,6.55,6.45,0.51,4.47
September,,,,,,6.58,2.82,2.51,1.86,7.87,1.79,5.1,6.05,8.95,5.23,9.59,5.51,6.16,2.55,9.88,4.8,7.14,8.11,9.14,4.07,3.88,7.6,6.23,0.58,3.88
October,,,,,,6.82,2.86,16.46,2.53,6.01,8.51,10.02,5.18,7.36,9.05,1.05,1.16,4.57,7.77,5.85,2.19,5.07,2.34,12.99,3.97,4.11,8.11,5.26,6.9,4.55
November,,,,,,8.03,1.75,7.79,9.83,9.51,3.77,2.37,5.6,11.51,0.64,10.06,9.61,3.75,8.74,6.95,11.35,2.68,7.83,10.18,3,2.83,2.77,2.15,6.67,10.14
December,,,,,,7.46,3.04,6.54,4.16,7.54,5.37,5.91,3.48,6.81,3.79,5.83,4.84,5.47,12.99,3.46,15.97,6.19,3.41,10.45,8.49,6.93,7.72,5.51,11.48,7.28
Total,,,,,,54.74,42.66,70.27,52.61,56.23,51.86,61.88,66.13,70.89,58.79,66.8,52.55,63.19,64.03,72.45,68.72,58.54,55.91,81.89,42.12,54.49,62.93,59.55,48.79,60.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near the reservoir at the stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
