SLAIDBURN-STOCKS-NO-21D-CHECK,,,,,,,,,,
Grid ref,SD717548,Long,-2.4330928,Lat,53.988465,Elevation,630,ft.,,
Station no,3083/4/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.97,,6.1,5.03,7.46
February,,,,,,1.55,,9.98,1.1,5.4
March,,,,,,2.24,,2.01,3.2,1.86
April,,,,,,2.38,,2.19,3.57,4.33
May,,,,,,2.84,,6.51,1.63,2.16
June,,,,,,3.19,,4.11,4.74,2.18
July,,,,,,5.94,,4.29,3.81,9.27
August,,,,,,12.18,,6.36,0.52,4.57
September,,,,,,3.74,,6.19,0.59,3.93
October,,,,,,4.11,,5.38,7.37,4.47
November,,,,,,2.89,,2.12,6.65,10.8
December,,,,,,7.33,,5.56,12.17,7.99
Total,,,,,,54.36,,60.8,50.38,64.42
,,,,,,,,,,
NGR is from 1950s record and is near the reservoir at the stated altitude,,,,,,,,,,
,,,,,,,,,,
