"UCKFIELD, SHEFFIELD PARK GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4317,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,,,3.98,5.88,,
February,,,,,,,,,1.00,2.43,,
March,,,,,,,,,1.08,3.94,,
April,,,,,,,,,3.34,2.99,,
May,,,,,,,,,1.67,0.83,,
June,,,,,,,,,1.27,0.66,,
July,,,,,,,,,5.10,2.24,,
August,,,,,,,,,1.44,3.48,,
September,,,,,,,,,5.69,2.09,,
October,,,,,,,,,2.33,0.65,,
November,,,,,,,,,2.54,2.78,,
December,,,,,,,,,2.55,5.89,,
Total,,,,,,,,,31.99,33.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.99,33.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
