WALSDEN-RISHWORTH-DRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD979162,Long,-2.033239,Lat,53.642308,Elevation,1300,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.98,4.25,3.7,1.9,5.37,1.81,3.85,2.27,7.28,2.16,-999,3.37,2.78,5.22,3.42,-999,1.94,-999,3.62,6.5,3,,,,,,,,
February,,,1.65,4.3,3.5,1.83,2.8,1.96,2.75,2.4,1.92,4.9,-999,1.34,2.65,2.81,-999,-999,5.7,-999,2.82,0.68,3.89,,,,,,,,
March,,,1.75,5.55,2.17,3.64,3.85,3.52,2.96,2.85,1.22,2.05,4.72,3.9,4.15,-999,-999,-999,1.55,-999,2.85,3.13,2.52,,,,,,,,
April,,,2.23,1.78,3.4,2.62,1.37,2.35,1.88,3.85,3.45,2.47,1.16,3.96,1.23,-999,2.19,-999,1.21,1.4,4.8,0.9,2.7,,,,,,,,
May,,,2.85,4.68,2.27,1.17,3.03,3.4,2.53,2.28,2.73,1.41,3.16,3.02,1.8,3.21,2.67,1.91,2.87,2,5.47,2.4,1.08,,,,,,,,
June,,,1.63,1.45,1.75,2.5,2.4,7.62,2.25,2.42,3.96,2.9,6.39,3.15,1.96,0.44,2.57,2.4,1.16,1.84,3.2,0.25,2.62,,,,,,,,
July,,,2.09,4.02,1.5,2.84,2.66,2.68,4.15,6.25,4.28,0.7,2.76,1.2,3.52,5.05,2.05,2.06,4.45,1.86,8.91,1.84,4.65,,,,,,,,
August,,,4.5,5.52,5,5.5,4.55,4.24,4.01,3.48,5.49,2.31,7.88,2.12,3.22,4.94,2.67,7.35,2.8,3.55,2.15,5.74,5.56,,,,,,,,
September,,,2.65,5.86,0.93,2.91,1.39,1.02,3.75,2.7,0.38,3.86,2.67,1.66,2.26,1.27,2.4,2.13,11.47,1.72,2,1.74,3.24,,,,,,,,
October,,,5.01,9.54,2.69,3.56,6.89,5.67,2.5,5.9,2.55,3.26,4.54,2.32,2.41,1.64,7.58,6.21,3.14,2.8,1.8,2.64,0.86,,,,,,,,
November,,,2.33,3.19,2.93,4.13,4.75,3.58,2.48,1.28,4.83,4.67,2.37,5.02,5.21,-999,3.04,4.45,1.86,2.87,2.22,2.46,2.58,,,,,,,,
December,,,4.21,2.4,3,1.15,2.43,4.07,2.47,6.29,4.27,5.31,4.2,2,5.94,-999,2.65,0.8,6.75,5.95,3.4,5.09,3.47,,,,,,,,
Total,,,33.88,52.54,32.84,33.75,41.49,41.92,35.58,41.97,42.36,36,45.85,33.06,37.13,34.01,36.75,32.25,44.9,31.44,43.24,33.37,36.17,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on the Rishworth Drain. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The drain is just over 2km long at or around the stated altitude and the NGR could be up to 1km NNE or 1km SSW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
